strategy,stoploss,total_return,cagr,mdd,win_rate,buy_time,win_time,gain_loss_ratio,holding_time_ratio,investing_period,sharpe_ratio,execution_time
benchmark,,28.59008264462783,0.01999803774661757,0.8748599439775915,,,,,,62443,0.06946973369572755,
momentum_5,,64.32059084638267,0.7972531668703002,0.6564409179044026,0.3399014778325123,203.0,69.0,4.57,0.537663335895465,2602,1.4437398371510226,00:00
momentum_5,0.03,78.03529843294515,0.8459507087269922,0.6147447382740293,0.3394495412844037,218.0,74.0,4.05,0.5146041506533435,2602,1.5411700188614517,00:00
momentum_5,0.05,57.74636903695305,0.7707075506686403,0.6602961446695667,0.33014354066985646,209.0,69.0,4.17,0.5284396617986165,2602,1.4359051961276466,00:00
momentum_5,0.1,75.28382519781636,0.8367981488450558,0.6564409179044032,0.3399014778325123,203.0,69.0,4.74,0.536510376633359,2602,1.5024232690761288,00:00
momentum_5,0.2,64.4576818613428,0.7977818095746163,0.6564409179044025,0.3399014778325123,203.0,69.0,4.5,0.5372790161414297,2602,1.4443913314915782,00:00
momentum_10,,72.71906659436526,0.8301316851665397,0.46923039538542294,0.336,125.0,42.0,6.33,0.5386984982672314,2597,1.4623665809016961,00:00
momentum_10,0.03,69.1053169958459,0.8172486818638094,0.43558519331569706,0.3782051282051282,156.0,59.0,4.53,0.5013477088948787,2597,1.4870624938852102,00:00
momentum_10,0.05,105.69915290456393,0.9277535142539144,0.4664805788519701,0.37857142857142856,140.0,53.0,5.14,0.5221409318444359,2597,1.6030140715874448,00:00
momentum_10,0.1,85.25872013373505,0.8709875127701436,0.46700985972901127,0.35658914728682173,129.0,46.0,5.79,0.5340777820562187,2597,1.523669522698362,00:00
momentum_10,0.2,79.89540219883312,0.8541828553406425,0.4692303953854228,0.3412698412698413,126.0,43.0,5.82,0.5379283788987294,2597,1.4925489790307982,00:00
momentum_20,,121.7220977053745,0.9711798494990032,0.5982010972532411,0.3448275862068966,87.0,30.0,6.39,0.5419404715887128,2587,1.622321885761575,00:00
momentum_20,0.03,83.52730210430259,0.8701659020989301,0.5881430349117769,0.36231884057971014,138.0,50.0,3.02,0.49748743718592964,2587,1.5596137839238193,00:00
momentum_20,0.05,118.11462783729154,0.9628994445254595,0.6176126736126704,0.42342342342342343,111.0,47.0,4.05,0.5187475840742173,2587,1.6467160010424684,00:00
momentum_20,0.1,111.0301788203179,0.9459909397981987,0.6067940746129357,0.3473684210526316,95.0,33.0,3.79,0.5349826053343641,2587,1.6149856919302192,00:00
momentum_20,0.2,105.36682249096869,0.9318002499733071,0.5982010972532404,0.3409090909090909,88.0,30.0,5.36,0.540780827212988,2587,1.583038124404378,00:00
momentum_50,,32.772239497551496,0.6527033065931409,0.7894184276068948,0.3392857142857143,56.0,19.0,11.22,0.543605788032851,2557,1.2174459254960406,00:00
momentum_50,0.03,16.73292213763894,0.5075011441016601,0.7423603838007459,0.35964912280701755,114.0,41.0,3.51,0.4912006257332812,2557,1.0609116550111681,00:00
momentum_50,0.05,25.466301573110837,0.5961838957714607,0.7822649969496355,0.42528735632183906,87.0,37.0,4.69,0.5154477903793508,2557,1.1668288283301418,00:00
momentum_50,0.1,32.1365539054014,0.6482264787443013,0.6707932404002288,0.34285714285714286,70.0,24.0,9.65,0.5314822057098162,2557,1.2393548097329758,00:00
momentum_50,0.2,27.105683141700226,0.6099363520295951,0.7806466707235254,0.3620689655172414,58.0,21.0,7.64,0.5408682049276496,2557,1.168754668010219,00:00
momentum_5,,40.91419879876257,0.6888049279188333,0.6333758550838814,0.32663316582914576,199.0,65.0,3.89,0.5315142198308993,2602,1.2730294020139272,01:00
momentum_5,0.03,48.8749401104905,0.7305069810396851,0.5542555035997198,0.3211009174311927,218.0,70.0,3.59,0.504227517294389,2602,1.3605261256117136,01:00
momentum_5,0.05,65.20317185809105,0.8006399748788753,0.6157602968834749,0.3300970873786408,206.0,68.0,3.76,0.5211375864719446,2602,1.4261575563700364,01:00
