strategy,stoploss,total_return,cagr,mdd,win_rate,buy_time,win_time,gain_loss_ratio,holding_time_ratio,investing_period,sharpe_ratio,execution_time
benchmark,,28.59008264462783,0.01999803774661757,0.8748599439775915,,,,,,62443,0.06946973369572755,
trb_50_v1,,15.210060497013696,0.4880711170559786,0.7182330605287474,0.46153846153846156,13.0,6.0,5.73,0.5566849100860047,2558,0.9912981615225984,00:00
trb_50_v2,,9.31093794677575,0.3950414517932104,0.800463611722334,0.4,15.0,6.0,5.69,0.5938232994526974,2558,0.857539163390211,00:00
trb_50_v3,,16.33510401508144,0.5023873610376326,0.7433259397849405,0.47058823529411764,17.0,8.0,5.83,0.5711493354182955,2558,1.0218252876991238,00:00
trb_50_v1,0.03,18.48888926987132,0.5277039632462479,0.21214416156187932,0.525,40.0,21.0,4.86,0.15207193119624707,2558,1.4772151940309317,00:00
trb_50_v2,0.03,14.278689495224034,0.47555966177940934,0.291387330043586,0.48936170212765956,47.0,23.0,3.86,0.1923377638780297,2558,1.3058572190024114,00:00
trb_50_v3,0.03,14.278689495224034,0.47555966177940934,0.291387330043586,0.48936170212765956,47.0,23.0,3.86,0.1923377638780297,2558,1.3058572190024114,00:00
trb_50_v1,0.05,23.192413862555785,0.5755661212946603,0.2173356734836916,0.625,32.0,20.0,3.47,0.20132916340891321,2558,1.5263767487412248,00:00
trb_50_v2,0.05,14.654416170638365,0.480683576796602,0.39740524926896653,0.5,38.0,19.0,3.37,0.23573103987490227,2558,1.2756138029540016,00:00
trb_50_v3,0.05,14.654416170638365,0.480683576796602,0.39740524926896653,0.5,38.0,19.0,3.37,0.23573103987490227,2558,1.2756138029540016,00:00
trb_50_v1,0.1,33.61351853662992,0.6581902686004064,0.3214501442545571,0.5,22.0,11.0,7.32,0.30727130570758404,2558,1.5380189208569457,00:00
trb_50_v2,0.1,21.440406045241183,0.5587556239853126,0.48059197829170064,0.46153846153846156,26.0,12.0,5.41,0.34284597341673184,2558,1.3147855614043569,00:00
trb_50_v3,0.1,21.440406045241183,0.5587556239853126,0.48059197829170064,0.46153846153846156,26.0,12.0,5.41,0.34284597341673184,2558,1.3147855614043569,00:00
trb_50_v1,0.2,16.60137711733922,0.50565875758726,0.5218760345937051,0.4375,16.0,7.0,5.08,0.4499609069585614,2558,1.106938519172824,00:00
trb_50_v2,0.2,10.804168410456418,0.42222498323581137,0.6360593788376869,0.3888888888888889,18.0,7.0,5.1,0.4800625488663018,2558,0.9622821315523756,00:00
trb_50_v3,0.2,14.366143500092747,0.47676186967691714,0.6360593788376869,0.45,20.0,9.0,4.87,0.45973416731821737,2558,1.080565374884232,00:00
trb_150_v1,,18.09965737035652,0.5496211062347183,0.5627105628220369,0.6666666666666666,3.0,2.0,not enough data,0.5545158665581774,2458,1.1568883944152895,00:00
trb_150_v2,,19.875702298637428,0.570217174466835,0.5627105628220371,0.6666666666666666,3.0,2.0,not enough data,0.5878763222131814,2458,1.1719125387319036,00:00
trb_150_v3,,17.022377540413814,0.5363191802395761,0.5627105628220368,0.75,4.0,3.0,not enough data,0.548820179007323,2458,1.1371280429076407,00:00
trb_150_v1,0.03,6.229405484248873,0.34144289664255956,0.136628507381209,0.5,24.0,12.0,7.01,0.09886086248982913,2458,1.3140829752204313,00:00
trb_150_v2,0.03,4.132385967707856,0.274907454826121,0.2928699394134161,0.4482758620689655,29.0,13.0,4.55,0.12082994304312449,2458,1.0437391014370925,00:00
trb_150_v3,0.03,4.132385967707856,0.274907454826121,0.2928699394134161,0.4482758620689655,29.0,13.0,4.55,0.12082994304312449,2458,1.0437391014370925,00:00
trb_150_v1,0.05,7.034902884537297,0.3626516220891196,0.16169681257732854,0.55,20.0,11.0,4.68,0.12571196094385678,2458,1.338132673775064,00:00
trb_150_v2,0.05,3.6202019437601827,0.2551586894293554,0.3710711709310327,0.4,25.0,10.0,4.13,0.14483319772172498,2458,0.945093659662226,00:00
trb_150_v3,0.05,3.6202019437601827,0.2551586894293554,0.3710711709310327,0.4,25.0,10.0,4.13,0.14483319772172498,2458,0.945093659662226,00:00
trb_150_v1,0.1,8.966878566502114,0.40695677488823834,0.37148095814758775,0.46153846153846156,13.0,6.0,10.91,0.21724979658258747,2458,1.286716978370432,00:00
trb_150_v2,0.1,5.373711338813376,0.31658231066482245,0.44600439911135353,0.4375,16.0,7.0,5.46,0.2367778681855167,2458,1.0160365591736094,00:00
trb_150_v3,0.1,5.373711338813376,0.31658231066482245,0.44600439911135353,0.4375,16.0,7.0,5.46,0.2367778681855167,2458,1.0160365591736094,00:00
trb_150_v1,0.2,12.860890077781695,0.47757638835010185,0.47102398733999495,0.5714285714285714,7.0,4.0,9.55,0.338893409275834,2458,1.2568609583477546,00:00
trb_150_v2,0.2,14.14130892606659,0.49709040253114445,0.47050204305086274,0.5714285714285714,7.0,4.0,10.8,0.3726606997558991,2458,1.263367135639978,00:00
trb_150_v3,0.2,14.14130892606659,0.49709040253114445,0.47050204305086274,0.5714285714285714,7.0,4.0,10.8,0.3726606997558991,2458,1.263367135639978,00:00
trb_200_v1,,6.819552814825989,0.36579901113097835,0.6303665336046745,0.3333333333333333,3.0,1.0,10.86,0.6640365448504983,2408,0.8150170823041956,00:00
trb_200_v2,,7.687579712567571,0.3877667290457809,0.6537420695763893,0.3333333333333333,3.0,1.0,11.33,0.6989202657807309,2408,0.8400219356573662,00:00
trb_200_v3,,12.705800414379386,0.48706440651392424,0.5627105628220369,0.6666666666666666,3.0,2.0,not enough data,0.6495016611295681,2408,1.0037692978059767,00:00
trb_200_v1,0.03,5.596387603393505,0.3310330829574488,0.1491302818295707,0.55,20.0,11.0,7.24,0.08845514950166113,2408,1.2927512037507416,00:00
trb_200_v2,0.03,3.3317510500048106,0.24883259347351405,0.2928699394134161,0.46153846153846156,26.0,12.0,4.17,0.11088039867109635,2408,0.965509654123028,00:00
trb_200_v3,0.03,3.3317510500048106,0.24883259347351405,0.2928699394134161,0.46153846153846156,26.0,12.0,4.17,0.11088039867109635,2408,0.965509654123028,00:00
trb_200_v1,0.05,7.009763100708614,0.3707836905748969,0.15259806538888473,0.625,16.0,10.0,4.72,0.11129568106312292,2408,1.3805731654187026,00:00
