strategy,stoploss,total_return,cagr,mdd,win_rate,buy_time,win_time,gain_loss_ratio,holding_time_ratio,investing_period,sharpe_ratio,execution_time,strategy_folder
ma1_20,,94.02114020151662,0.9008286201791352,0.5541973681136594,0.3225806451612903,93.0,30.0,7.81,0.5285935085007728,2588,1.5736009323594349,00:00,1_moving_averages
ma1_20,0.03,118.63158373730045,0.9635869171249803,0.4830736541394624,0.3809523809523809,126.0,48.0,5.13,0.5042503863987635,2588,1.675133992201629,00:00,1_moving_averages
ma1_20,0.05,121.25105356191096,0.969594474315138,0.5521886132718374,0.3513513513513513,111.0,39.0,6.09,0.5239567233384853,2588,1.6630633569925388,00:00,1_moving_averages
ma1_20,0.1,128.1795150632425,0.9849672914348072,0.5541973681136587,0.3333333333333333,96.0,32.0,7.7,0.535935085007728,2588,1.669391439545442,00:00,1_moving_averages
ma1_20,0.2,101.9098504043764,0.9223301154794604,0.5541973681136588,0.3263157894736842,95.0,31.0,7.43,0.5390262751159196,2588,1.5845077030895105,00:00,1_moving_averages
ma1_50,,41.678918828627005,0.7084981044443917,0.5376362872475975,0.2608695652173913,46.0,12.0,16.57,0.4890539483971853,2558,1.4831224368993248,00:00,1_moving_averages
ma1_50,0.03,50.35475748728637,0.7542119917975478,0.5220079326892032,0.3267326732673267,101.0,33.0,3.57,0.4683346364347146,2558,1.4244743457176603,00:00,1_moving_averages
ma1_50,0.05,84.68153235049186,0.8871347305136819,0.5483557505313222,0.3513513513513513,74.0,26.0,6.21,0.4890539483971853,2558,1.5676241116752505,00:00,1_moving_averages
ma1_50,0.1,90.23356205138106,0.9041172293449892,0.539111058601804,0.2962962962962963,54.0,16.0,13.33,0.5062548866301798,2558,1.5747293141022711,00:00,1_moving_averages
ma1_50,0.2,96.2809037306844,0.9216348442477114,0.5376362872475976,0.2857142857142857,49.0,14.0,13.09,0.5113369820172009,2558,1.581298450954673,00:00,1_moving_averages
ma1_150,,32.60168669517033,0.6852197778745162,0.4292975268835848,0.3157894736842105,19.0,6.0,12.94,0.5113913751017087,2458,1.3870757188221072,00:00,1_moving_averages
ma1_150,0.03,17.215363916518303,0.5387510234176156,0.3799211609946401,0.4102564102564102,78.0,32.0,3.41,0.4637917005695687,2458,1.2178666470541957,00:00,1_moving_averages
ma1_150,0.05,26.79343391453667,0.6383918579220398,0.3875045384794778,0.3653846153846153,52.0,19.0,2.91,0.4833197721724979,2458,1.3520002700395652,00:00,1_moving_averages
ma1_150,0.1,17.350715883050523,0.5404435528363911,0.521661980644775,0.3939393939393939,33.0,13.0,8.77,0.5,2458,1.1816664100128773,00:00,1_moving_averages
ma1_150,0.2,21.726381830364858,0.5901481010138911,0.4396011466154056,0.3181818181818182,22.0,7.0,11.71,0.5093572009764036,2458,1.2527685830538196,00:00,1_moving_averages
ma1_200,,19.49056313404957,0.5805302490590822,0.5565183977437805,0.2777777777777778,18.0,5.0,38.62,0.526578073089701,2408,1.2183266860536424,00:00,1_moving_averages
ma1_200,0.03,9.546856482064092,0.4291671275348936,0.4998669180059866,0.4155844155844156,77.0,32.0,3.25,0.4738372093023256,2408,1.0214258216191685,00:00,1_moving_averages
ma1_200,0.05,17.6399577087932,0.5580148520517672,0.5021067908424128,0.4313725490196078,51.0,22.0,4.53,0.4950166112956811,2408,1.2182406058606443,00:00,1_moving_averages
ma1_200,0.1,13.98551685192273,0.5073220588920979,0.5305335244287283,0.2580645161290322,31.0,8.0,5.94,0.5128737541528239,2408,1.119135306155952,00:00,1_moving_averages
ma1_200,0.2,14.293991282237204,0.5119846641675287,0.5610833080276719,0.3333333333333333,21.0,7.0,17.49,0.5232558139534884,2408,1.1198684635111342,00:00,1_moving_averages
ma2_20,,76.38551703430767,0.8465801189757689,0.4752810365084529,0.3452380952380952,84.0,29.0,6.2,0.5243431221020093,2588,1.5104196234440488,00:00,1_moving_averages
ma2_20,0.03,76.18490964728258,0.8459042414409976,0.4130644856058819,0.4152542372881356,118.0,49.0,4.28,0.4903400309119011,2588,1.5459423021498429,00:00,1_moving_averages
ma2_20,0.05,105.99074372211068,0.9329025352447736,0.4723457376212837,0.40625,96.0,39.0,4.7,0.5127511591962906,2588,1.633625472023253,00:00,1_moving_averages
ma2_20,0.1,90.02075715828236,0.8893327268920983,0.4752810365084524,0.3863636363636363,88.0,34.0,5.82,0.5305255023183926,2588,1.5650955187835138,00:00,1_moving_averages
ma2_20,0.2,91.14400242478855,0.8926037290662492,0.4752810365084526,0.3488372093023256,86.0,30.0,5.87,0.5343894899536321,2588,1.5537018010628756,00:00,1_moving_averages
ma2_50,,35.141681910055254,0.6684438349775164,0.4920870515152266,0.275,40.0,11.0,14.92,0.4913995308835027,2558,1.4181603805154008,00:00,1_moving_averages
ma2_50,0.03,48.9648901376822,0.7473577176375807,0.5095962723110407,0.3548387096774194,93.0,33.0,3.17,0.4663799843627834,2558,1.415556418462929,00:00,1_moving_averages
ma2_50,0.05,78.77907355690425,0.8680125145914681,0.5604254513016965,0.3768115942028985,69.0,26.0,5.51,0.4874902267396403,2558,1.543633123253565,00:00,1_moving_averages
ma2_50,0.1,70.84056659863181,0.8402831906531623,0.5582960984366222,0.2978723404255319,47.0,14.0,12.97,0.5074276778733385,2558,1.4962739233617537,00:00,1_moving_averages
ma2_50,0.2,80.95121478316373,0.8751864509117295,0.554760363848692,0.2954545454545454,44.0,13.0,11.51,0.5140734949179047,2558,1.5245522024650364,00:00,1_moving_averages
ma2_150,,30.19526082018313,0.6667261841733754,0.4235042040299825,0.3529411764705882,17.0,6.0,23.12,0.5105777054515866,2458,1.3589846259212646,00:00,1_moving_averages
ma2_150,0.03,15.529951444476534,0.5167251425028967,0.3727081213746043,0.4210526315789473,76.0,32.0,3.13,0.4613506916192026,2458,1.1805849228045222,00:00,1_moving_averages
ma2_150,0.05,25.50389450991536,0.62687416267674,0.3875045384794777,0.4285714285714285,49.0,21.0,3.92,0.4812855980471928,2458,1.332748117128095,00:00,1_moving_averages
ma2_150,0.1,16.57526785177843,0.5305987553833107,0.5110353336734628,0.3225806451612903,31.0,10.0,4.51,0.4983726606997559,2458,1.1648594047966343,00:00,1_moving_averages
