time_utc,open,high,low,close,volume_krw,volume_market,Daily Return,predict_close,signal,strategy_returns2,cumulative_returns2
2017-10-01,4889000.0,4978000.0,4682000.0,4962000.0,133132538.89401,27.32333246,0.0136874361593462,4303650.5,0,0.0,1.0
2017-10-02,4962000.0,5095000.0,4956000.0,5025000.0,159931532.80646,31.72800385,0.0126964933494557,4412025.5,0,0.0,1.0
2017-10-03,5021000.0,5079000.0,4811000.0,4964000.0,58901304.61549,11.89930699,-0.012139303482587,4474568.0,0,-0.0,1.0
2017-10-04,4987000.0,5002000.0,4837000.0,4895000.0,34588125.30359,7.03874388,-0.0139000805801772,4504902.5,0,-0.0,1.0
2017-10-05,4894000.0,4993000.0,4811000.0,4926000.0,26371319.19136,5.36365175,0.0063329928498467,4504320.0,0,0.0,1.0
2017-10-06,4927000.0,5034000.0,4885000.0,5027000.0,123935127.5442,25.16382027,0.0205034510759236,4501203.5,0,0.0,1.0
2017-10-07,4983000.0,5070000.0,4935000.0,5047000.0,21667485.97149,4.343932,0.003978516013527,4548757.5,0,0.0,1.0
2017-10-08,5044000.0,5263000.0,4993000.0,5217000.0,738294004.4727801,145.91785961,0.0336833762631265,4561644.5,0,0.0,1.0
2017-10-09,5222000.0,5761000.0,5188000.0,5477000.0,43270591.141210005,8.07043419,0.0498370711136668,4653117.5,0,0.0,1.0
2017-10-10,5469000.0,5665000.0,5459000.0,5486000.0,64822758.50704,11.69369387,0.0016432353478181,4823714.5,0,-0.0,1.0
2017-10-11,5533000.0,5605000.0,5451000.0,5557000.0,23324891.84167,4.21265003,0.0129420342690484,4933729.5,0,0.0,1.0
2017-10-12,5569000.0,6377000.0,5515000.0,6332000.0,118992386.99591,20.91828711,0.1394637394277487,5032049.0,0,0.0,1.0
2017-10-13,6346000.0,6950000.0,6149000.0,6438000.0,175152950.33682,26.80632423,0.0167403663929248,5412445.0,0,0.0,1.0
2017-10-14,6427000.0,6664000.0,6322000.0,6664000.0,21713362.01115,3.35282452,0.0351040695868281,5673503.0,0,0.0,1.0
2017-10-15,6610000.0,6700000.0,6142000.0,6381000.0,48606365.59432,7.63078273,-0.0424669867947179,5892298.0,0,-0.0,1.0
2017-10-16,6403000.0,6527000.0,6282000.0,6491000.0,146271226.15592,22.92663476,0.0172386773233035,5960171.5,0,0.0,1.0
2017-10-17,6495000.0,6510000.0,6299000.0,6457000.0,27260409.19505,4.24133721,-0.0052380218764442,6077512.0,0,-0.0,1.0
2017-10-18,6413000.0,6489000.0,5876000.0,6391000.0,219208847.48369,36.00111898,-0.0102214650766609,6077784.0,0,-0.0,1.0
2017-10-19,6405000.0,6596000.0,6109000.0,6511000.0,76025647.17432,11.95565558,0.0187764043185729,6023146.5,0,0.0,1.0
2017-10-20,6536000.0,6954000.0,6395000.0,6928000.0,145159280.71805,21.97426401,0.0640454615266472,6014008.5,0,0.0,1.0
2017-10-21,6928000.0,7253000.0,6773000.0,6874000.0,38250145.45411,5.46210809,-0.0077944572748267,6184457.0,0,-0.0,1.0
