strategy,stoploss,total_return,cagr,mdd,win_rate,buy_time,win_time,gain_loss_ratio,holding_time_ratio,investing_period,sharpe_ratio,execution_time
benchmark,,28.001157139550898,0.6026103135263545,0.8681314677160766,,,,,,2606,1.0227138263054145,
rsi_5,,7.600641341456786,0.3522050365823588,0.6782356397824509,0.5112781954887218,133.0,68.0,1.71,0.5182481751824818,2603,0.8578178853612713,00:00
rsi_5,0.03,4.633797744891091,0.27432284436142584,0.5430092832289185,0.3898305084745763,177.0,69.0,2.31,0.39031886285055706,2603,0.778177875795288,00:00
rsi_5,0.05,5.226773582742608,0.29233113626302987,0.5638548496926031,0.43373493975903615,166.0,72.0,1.93,0.4494813676527084,2603,0.7879506800813109,00:00
rsi_5,0.1,6.775912701082337,0.3332256783878764,0.6277460717813915,0.48,150.0,72.0,1.75,0.4898194391087207,2603,0.8460257400152786,00:00
rsi_5,0.2,7.411237950170854,0.34798936490679533,0.6798701099084604,0.5036496350364964,137.0,69.0,1.67,0.5109489051094891,2603,0.8584155625953377,00:00
rsi_10,,3.359696351704124,0.22981256374719017,0.717362033315532,0.5454545454545454,44.0,24.0,1.94,0.45304080061585833,2598,0.6301413226479778,00:00
rsi_10,0.03,9.610581006886024,0.39350602626572195,0.46194254836675486,0.3855421686746988,83.0,32.0,3.98,0.26712856043110084,2598,1.1703918592807103,00:00
rsi_10,0.05,7.0464396721614815,0.3403885374684392,0.4707110261534961,0.43037974683544306,79.0,34.0,2.84,0.32255581216320245,2598,0.9911668041270976,00:00
rsi_10,0.1,10.482731200354914,0.4090571172750306,0.5861152283178983,0.5,62.0,31.0,2.42,0.40454195535026943,2598,0.9932260189013983,00:00
rsi_10,0.2,3.0118490745890414,0.21552949620753403,0.704344225158769,0.5576923076923077,52.0,29.0,1.59,0.43033102386451116,2598,0.6139293912963096,00:00
rsi_14,,0.4231884456599384,0.050909821374404585,0.7795113639930845,0.6551724137931034,29.0,19.0,0.86,0.4699306090979183,2594,0.28537302105507284,00:00
rsi_14,0.03,0.46171436222582396,0.05486696969523752,0.6420378230127216,0.265625,64.0,17.0,2.93,0.18581341557440248,2594,0.2581806888769752,00:00
rsi_14,0.05,0.6079177002178742,0.06911209596544254,0.662502495650405,0.3898305084745763,59.0,23.0,2.08,0.24633770239013106,2594,0.30647704231520007,00:00
rsi_14,0.1,1.938356947454312,0.16376871349784095,0.5685964571164711,0.5208333333333334,48.0,25.0,1.54,0.3851195065535852,2594,0.5577850555781597,00:00
rsi_14,0.2,0.6826187569191731,0.0759653852057538,0.7264978169038017,0.6216216216216216,37.0,23.0,0.95,0.4302235929067078,2594,0.3355476313347233,00:00
rsi_20,,-0.5653084402226876,-0.11085889507248936,0.8638380119808562,0.6666666666666666,18.0,12.0,0.36,0.43894899536321486,2588,-0.17680586611452873,00:00
rsi_20,0.03,0.6778220810359923,0.07571484532902284,0.3236881820198563,0.36363636363636365,44.0,16.0,2.76,0.1410355486862442,2588,0.36277319427599125,00:00
rsi_20,0.05,0.4431234552942096,0.05309476646092959,0.36653259009763256,0.4186046511627907,43.0,18.0,2.03,0.20479134466769705,2588,0.2514152785063196,00:00
rsi_20,0.1,0.4672877252020444,0.05556401047392834,0.5109834137182583,0.4857142857142857,35.0,17.0,1.38,0.28709428129829984,2588,0.2596761087292075,00:00
rsi_20,0.2,0.1717387942404609,0.022604244238644267,0.6427338319617334,0.6666666666666666,27.0,18.0,0.69,0.3802163833075734,2588,0.17465253513603102,00:00
