,time_utc,open,high,low,close,volume_krw,volume_market,ema_fast,ema_slow,macd,signal,position,strategy_returns,strategy_returns2,buy_price,sell_price,cumulative_returns,cumulative_returns2
0,2017-09-25,4201000.0,4333000.0,4175000.0,4322000.0,560214613.8164,132.48475499,4322000.0,4322000.0,0.0,0,0,,0.0,,4322000.0,,1.0
1,2017-09-26,4317000.0,4418000.0,4311000.0,4321000.0,99507239.78705,22.78833969,4321846.153846154,4321925.925925926,-79.77207977231592,-1,0,-0.0,0.0,4322000.0,4312358.0,1.0,1.0
2,2017-09-27,4322000.0,4677000.0,4318000.0,4657000.0,144827622.95669,32.2696617,4373408.284023669,4346746.227709191,26662.056314477697,1,0,0.0,0.0,4321000.0,4657000.0,1.0,1.0
3,2017-09-28,4657000.0,4772000.0,4519000.0,4586000.0,372185978.32992,80.5882434,4406114.701866182,4364468.729360362,41645.972505819984,0,1,-0.015245866437620825,-0.017211443550519734,4666314.0,4586000.0,0.9847541335623792,0.9827885564494803
4,2017-09-29,4586000.0,4709000.0,4476000.0,4657000.0,272455756.80078,59.35237346,4444712.440040615,4386137.712370705,58574.72766991053,0,1,0.015481901439162726,0.015481901439162726,4586000.0,4657000.0,1.0,0.9980039920159681
5,2017-09-30,4657000.0,4896000.0,4651000.0,4895000.0,95614755.70559,19.998483320000002,4513987.449265136,4423831.21515806,90156.23410707619,0,1,0.051105862143010494,0.051105862143010494,4657000.0,4895000.0,1.0511058621430105,1.0490078464501102
6,2017-10-01,4889000.0,4978000.0,4682000.0,4962000.0,133132538.89400999,27.32333246,4582912.4570705,4463695.569590797,119216.88747970294,0,1,0.0136874361593462,0.0136874361593462,4895000.0,4962000.0,1.0654928065278075,1.0633660743790494
7,2017-10-02,4962000.0,5095000.0,4956000.0,5025000.0,159931532.80646,31.72800385,4650925.9252135,4505273.675547034,145652.24966646638,0,1,0.012696493349455773,0.012696493349455773,4962000.0,5025000.0,1.079020828859781,1.07686709467044
8,2017-10-03,5021000.0,5079000.0,4811000.0,4964000.0,58901304.61549,11.89930699,4699091.167488346,4539253.403284291,159837.76420405507,0,1,-0.012139303482587072,-0.012139303482587072,5025000.0,4964000.0,1.0659222675542195,1.0637946781978236
9,2017-10-04,4987000.0,5002000.0,4837000.0,4895000.0,34588125.30359,7.03874388,4729230.987874754,4565605.00304101,163625.98483374342,0,1,-0.013900080580177221,-0.013900080580177221,4964000.0,4895000.0,1.0511058621430107,1.0490078464501102
10,2017-10-05,4894000.0,4993000.0,4811000.0,4926000.0,26371319.19136,5.36365175,4759503.14358633,4592300.928741676,167202.2148446543,0,1,0.006332992849846786,0.006332992849846786,4895000.0,4926000.0,1.0577625080523945,1.055651205641112
11,2017-10-06,4927000.0,5034000.0,4885000.0,5027000.0,123935127.5442,25.16382027,4800656.50611151,4624500.859945996,176155.64616551436,0,1,0.020503451075923662,0.020503451075923662,4926000.0,5027000.0,1.079450289886193,1.0772956984892144
12,2017-10-07,4983000.0,5070000.0,4935000.0,5047000.0,21667485.97149,4.343932,4838555.505171278,4655797.092542589,182758.41262868885,0,1,0.003978516013527056,0.003978516013527056,5027000.0,5047000.0,1.0837449001503117,1.0815817366769576
13,2017-10-08,5044000.0,5263000.0,4993000.0,5217000.0,738294004.4727801,145.91785961,4896777.735144927,4697367.678280175,199410.05686475243,0,1,0.03368337626312656,0.03368337626312656,5047000.0,5217000.0,1.120249087395319,1.1180130612727734
14,2017-10-09,5222000.0,5761000.0,5188000.0,5477000.0,43270591.141210005,8.07043419,4986042.698968785,4755118.220629792,230924.47833899315,0,1,0.049837071113666864,0.049837071113666864,5217000.0,5477000.0,1.1760790208288598,1.173731557713433
15,2017-10-10,5469000.0,5665000.0,5459000.0,5486000.0,64822758.50704,11.69369387,5062959.206819741,4809257.611694251,253701.59512548987,0,1,0.0016432353478181838,0.0016432353478181838,5477000.0,5486000.0,1.1780115954477133,1.1756602748979175
