strategy,stoploss,total_return,cagr,mdd,win_rate,buy_time,win_time,gain_loss_ratio,holding_time_ratio,investing_period,sharpe_ratio,execution_time
benchmark,,28.001157139550898,0.6026103135263545,0.8681314677160766,,,,,,2606,1.0227138263054145,
bb_5_1.5,,-0.5456909146149509,-0.10473243575064017,0.81563228259463,0.6179775280898876,89.0,55.0,0.59,0.4840568574721475,2603,-0.055749757307688184,00:00
bb_5_1.5,0.03,-0.2611860913149696,-0.041558487596403904,0.4940102809112029,0.4108527131782946,129.0,53.0,1.46,0.2431809450633884,2603,-0.0759117858593067,00:00
bb_5_1.5,0.05,0.6100347939529858,0.06906232213911068,0.4812348644375772,0.55,120.0,66.0,1.01,0.3169419900115252,2603,0.3064024112846253,00:00
bb_5_1.5,0.1,0.519148941096069,0.06038729082125194,0.7005079156397839,0.6213592233009708,103.0,64.0,0.75,0.40261237034191316,2603,0.3003983930742007,00:00
bb_5_1.5,0.2,-0.5593095488051503,-0.10854501974524877,0.8155792788720283,0.6195652173913043,92.0,57.0,0.54,0.45601229350749134,2603,-0.09542119212200331,00:00
bb_5_2,,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_2.5,,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_2.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_2.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_2.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_2.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_3,,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_3,0.03,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_5_3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2603,0.0,00:00
bb_10_1.5,,-0.7317448657190988,-0.16878154073788776,0.8933709247829129,0.6031746031746031,63.0,38.0,0.52,0.4387990762124711,2598,-0.26319959413972505,00:00
bb_10_1.5,0.03,0.5167081177139483,0.06026740293575794,0.5584414081264484,0.4392523364485981,107.0,47.0,1.61,0.25096227867590454,2598,0.27805337825723064,00:00
bb_10_1.5,0.05,-0.7120709098521163,-0.16047511586572116,0.8236541288802119,0.4845360824742268,97.0,47.0,1.03,0.29907621247113164,2598,-0.3925567409391571,00:00
bb_10_1.5,0.1,-0.7197969449600321,-0.16367711966062648,0.878547147628638,0.618421052631579,76.0,47.0,0.59,0.3741339491916859,2598,-0.3414102581710408,00:00
bb_10_1.5,0.2,-0.6757459182981493,-0.14634383123739303,0.8669048651100615,0.6086956521739131,69.0,42.0,0.52,0.4126250962278676,2598,-0.24254861317370247,00:00
bb_10_2,,-0.5711310152134517,-0.11214038784129043,0.8946659542496819,0.5,38.0,19.0,0.86,0.4899923017705928,2598,-0.0887234830573037,00:00
bb_10_2,0.03,-0.24199839189677808,-0.038178384749377625,0.5592515877656449,0.36923076923076925,65.0,24.0,1.3,0.15434949961508854,2598,-0.13622239571638062,00:00
bb_10_2,0.05,-0.6501902143527831,-0.1371968426627942,0.7696066117747447,0.423728813559322,59.0,25.0,0.82,0.1886066204772902,2598,-0.564051509607512,00:00
bb_10_2,0.1,-0.41258274892660607,-0.07201981984197714,0.8196406680079183,0.46,50.0,23.0,1.2,0.302540415704388,2598,-0.11291506012367343,00:00
bb_10_2,0.2,-0.6649155627072232,-0.1423943255311947,0.889496412103822,0.5348837209302325,43.0,23.0,0.79,0.4176289453425712,2598,-0.2548163546019437,00:00
bb_10_2.5,,-0.1278804926309618,-0.019039855631092895,0.6810808953348172,0.7142857142857143,7.0,5.0,0.64,0.3695150115473441,2598,0.04802649268794404,00:00
bb_10_2.5,0.03,-0.41581362900678076,-0.0727385988738859,0.4191686262556754,0.14285714285714285,14.0,2.0,0.78,0.028098537336412627,2598,-0.8734808164240887,00:00
bb_10_2.5,0.05,-0.3883018992748861,-0.0667241494351245,0.4249355805665366,0.21428571428571427,14.0,3.0,1.0,0.049268668206312545,2598,-0.6466932509046855,00:00
bb_10_2.5,0.1,-0.41513825691667816,-0.07258806580452459,0.599085320030786,0.35714285714285715,14.0,5.0,1.15,0.12009237875288684,2598,-0.4364374388714457,00:00
bb_10_2.5,0.2,0.12102885768863336,0.016180358935396377,0.5516466377960582,0.4444444444444444,9.0,4.0,2.09,0.26289453425712084,2598,0.1266505400105707,00:00
bb_10_3,,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2598,0.0,00:00
bb_10_3,0.03,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2598,0.0,00:00
bb_10_3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2598,0.0,00:00
bb_10_3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2598,0.0,00:00
bb_10_3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,not enough data,0.0,2598,0.0,00:00
bb_20_1.5,,-0.9002684676797285,-0.2775633149757243,0.9407665984860568,0.3939393939393939,33.0,13.0,0.54,0.4567233384853168,2588,-0.5781887016515909,00:00
bb_20_1.5,0.03,-0.9385283454963447,-0.3252232655201781,0.9604931121054385,0.22077922077922077,77.0,17.0,1.34,0.25386398763523954,2588,-1.1109613713494895,00:00
bb_20_1.5,0.05,-0.9416382547697194,-0.33014589430534647,0.9680847643336182,0.3235294117647059,68.0,22.0,1.03,0.31414219474497684,2588,-0.9844970896398902,00:00
bb_20_1.5,0.1,-0.9325167585266347,-0.3162851600410591,0.9652444903021355,0.44680851063829785,47.0,21.0,0.66,0.3875579598145286,2588,-0.8388315350001758,00:00
bb_20_1.5,0.2,-0.9269417310284896,-0.3085878815054187,0.956608610343957,0.4166666666666667,36.0,15.0,0.52,0.4339258114374034,2588,-0.7445003469133524,00:00
bb_20_2,,-0.7777710280357727,-0.1911356864544439,0.889244071336502,0.44,25.0,11.0,0.7,0.43160741885625964,2588,-0.32597851836575054,00:00
bb_20_2,0.03,-0.6814748011115133,-0.14900773508343002,0.8247767233202227,0.2916666666666667,48.0,14.0,1.17,0.1294435857805255,2588,-0.6609291609637192,00:00
bb_20_2,0.05,-0.7460956227361479,-0.17579103642050842,0.8452587676369304,0.35555555555555557,45.0,16.0,1.12,0.19629057187017002,2588,-0.7194627083050658,00:00
bb_20_2,0.1,-0.7513800503121788,-0.17823226713213836,0.8849830160958609,0.34285714285714286,35.0,12.0,1.02,0.30564142194744975,2588,-0.5451460403174453,00:00
bb_20_2,0.2,-0.7543890066462831,-0.17964228992998243,0.8775907865728956,0.4642857142857143,28.0,13.0,0.57,0.36669242658423495,2588,-0.4018302894586981,00:00
bb_20_2.5,,-0.6382333724987196,-0.13359146596799354,0.7991651186674026,0.3333333333333333,15.0,5.0,1.35,0.44629057187017,2588,-0.21078993155634604,00:00
bb_20_2.5,0.03,-0.3261056909391251,-0.05414329050074973,0.46422396115319225,0.37037037037037035,27.0,10.0,1.67,0.06530139103554869,2588,-0.30981129208748254,00:00
bb_20_2.5,0.05,-0.3855406017471962,-0.06638026961564225,0.5523371287287633,0.44,25.0,11.0,1.19,0.13562596599690882,2588,-0.2897909025655037,00:00
bb_20_2.5,0.1,-0.5936114489015271,-0.11926177651560621,0.7043376210985393,0.3181818181818182,22.0,7.0,1.65,0.19358578052550232,2588,-0.4785470010312856,00:00
bb_20_2.5,0.2,-0.6659397400546345,-0.14327316286494896,0.7951665770916971,0.3333333333333333,18.0,6.0,1.41,0.3319165378670788,2588,-0.3917559258269853,00:00
bb_20_3,,-0.3000338093322269,-0.04906603707882329,0.6935857126817746,0.3333333333333333,6.0,2.0,2.47,0.3972179289026275,2588,0.021677825441320665,00:00
bb_20_3,0.03,-0.13431521979290562,-0.020136675884283584,0.2117004406028544,0.3,10.0,3.0,1.45,0.014683153013910355,2588,-0.3843666367247174,00:00
bb_20_3,0.05,-0.28705253649464935,-0.04659837487600127,0.32262936759443467,0.3,10.0,3.0,0.63,0.030139103554868624,2588,-0.5276486726517268,00:00
bb_20_3,0.1,-0.11191659641478724,-0.016600129135453057,0.4210393953941462,0.2,10.0,2.0,5.25,0.09157650695517774,2588,-0.12041517298385608,00:00
bb_20_3,0.2,-0.598615927778522,-0.12079958161186855,0.6403494001821344,0.25,8.0,2.0,2.22,0.13717156105100464,2588,-0.5028450576221888,00:00
bb_50_1.5,,-0.691257756570343,-0.15438892035704221,0.8251353710423822,0.5789473684210527,19.0,11.0,0.37,0.44878811571540267,2558,-0.218581805205777,00:00
bb_50_1.5,0.03,-0.7103392402775421,-0.16205164846321485,0.8839915732094256,0.32786885245901637,61.0,20.0,2.06,0.21383893666927287,2558,-0.45195935338531423,00:00
bb_50_1.5,0.05,-0.6743227872434534,-0.14792107361829687,0.8444552919392811,0.4074074074074074,54.0,22.0,1.54,0.2685691946833464,2558,-0.3633587433895939,00:00
bb_50_1.5,0.1,-0.7213792846021962,-0.16668502992149803,0.8495563505619005,0.5135135135135135,37.0,19.0,0.97,0.34910086004691165,2558,-0.34129378016264156,00:00
bb_50_1.5,0.2,-0.6584839669147138,-0.14212775831247726,0.8261246354199708,0.6206896551724138,29.0,18.0,0.7,0.4331508991399531,2558,-0.20421864960521036,00:00
bb_50_2,,-0.5028682217282147,-0.09491442557506258,0.7123036711847296,0.46153846153846156,13.0,6.0,0.99,0.4468334636434715,2558,-0.09378990769549825,00:00
bb_50_2,0.03,-0.36971655738543496,-0.06374131947746375,0.6643155901250608,0.30303030303030304,33.0,10.0,2.36,0.09147771696637999,2558,-0.300377080522918,00:00
bb_50_2,0.05,-0.3834649403259087,-0.06668303716698931,0.6722393317866535,0.41935483870967744,31.0,13.0,1.77,0.1364347146207975,2558,-0.27252949384504166,00:00
bb_50_2,0.1,-0.6908196303168245,-0.15421779979990768,0.8155517070887027,0.32,25.0,8.0,1.18,0.22126661454261143,2558,-0.5535342768804904,00:00
bb_50_2,0.2,-0.2599371996059665,-0.04204306660864088,0.6355968859403848,0.5625,16.0,9.0,0.85,0.3713838936669273,2558,0.0062634189051194574,00:00
bb_50_2.5,,-0.1206953949619397,-0.018185897737266643,0.605356587707019,0.625,8.0,5.0,0.82,0.3936669272869429,2558,0.06019979233410411,00:00
bb_50_2.5,0.03,-0.3852998850287357,-0.0670799009026758,0.4304996086170586,0.3125,16.0,5.0,1.57,0.03440187646598905,2558,-0.5682834856595002,00:00
bb_50_2.5,0.05,-0.19159102599649502,-0.029892365946587174,0.38303249834547826,0.5333333333333333,15.0,8.0,1.23,0.08522283033620015,2558,-0.21675987379509826,00:00
bb_50_2.5,0.1,-0.4775803863755341,-0.08848396887683718,0.5839998065071512,0.21428571428571427,14.0,3.0,1.51,0.13487099296325253,2558,-0.4854862400354295,00:00
