strategy,stoploss,total_return,cagr,mdd,win_rate,buy_time,win_time,gain_loss_ratio,holding_time_ratio,investing_period,sharpe_ratio,execution_time
benchmark,,28.59008264462783,0.01999803774661757,0.8748599439775915,,,,,,62443,0.06946973369572755,
ma1_20,,94.02114020151662,0.9008286201791353,0.5541973681136594,0.3225806451612903,93.0,30.0,7.81,0.5285935085007728,2588,1.5736009323594347,00:00
ma1_20,0.03,118.63158373730045,0.9635869171249805,0.48307365413946246,0.38095238095238093,126.0,48.0,5.13,0.5042503863987635,2588,1.675133992201629,00:00
ma1_20,0.05,121.25105356191096,0.9695944743151379,0.5521886132718374,0.35135135135135137,111.0,39.0,6.09,0.5239567233384853,2588,1.6630633569925388,00:00
ma1_20,0.1,128.1795150632425,0.9849672914348073,0.5541973681136587,0.3333333333333333,96.0,32.0,7.7,0.535935085007728,2588,1.6693914395454421,00:00
ma1_20,0.2,101.90985040437639,0.9223301154794605,0.5541973681136588,0.3263157894736842,95.0,31.0,7.43,0.5390262751159196,2588,1.5845077030895105,00:00
ma1_50,,41.678918828627005,0.7084981044443917,0.5376362872475975,0.2608695652173913,46.0,12.0,16.57,0.4890539483971853,2558,1.4831224368993248,00:00
ma1_50,0.03,50.35475748728637,0.7542119917975478,0.5220079326892032,0.32673267326732675,101.0,33.0,3.57,0.4683346364347146,2558,1.4244743457176603,00:00
ma1_50,0.05,84.68153235049186,0.8871347305136819,0.5483557505313222,0.35135135135135137,74.0,26.0,6.21,0.4890539483971853,2558,1.5676241116752503,00:00
ma1_50,0.1,90.23356205138106,0.9041172293449891,0.539111058601804,0.2962962962962963,54.0,16.0,13.33,0.5062548866301798,2558,1.5747293141022713,00:00
ma1_50,0.2,96.28090373068441,0.9216348442477114,0.5376362872475976,0.2857142857142857,49.0,14.0,13.09,0.5113369820172009,2558,1.581298450954673,00:00
ma1_150,,32.60168669517033,0.6852197778745162,0.42929752688358486,0.3157894736842105,19.0,6.0,12.94,0.5113913751017087,2458,1.3870757188221072,00:00
ma1_150,0.03,17.215363916518303,0.5387510234176156,0.3799211609946401,0.41025641025641024,78.0,32.0,3.41,0.46379170056956875,2458,1.2178666470541957,00:00
ma1_150,0.05,26.79343391453667,0.6383918579220398,0.38750453847947786,0.36538461538461536,52.0,19.0,2.91,0.48331977217249794,2458,1.3520002700395652,00:00
ma1_150,0.1,17.350715883050523,0.5404435528363911,0.521661980644775,0.3939393939393939,33.0,13.0,8.77,0.5,2458,1.1816664100128773,00:00
ma1_150,0.2,21.726381830364858,0.5901481010138911,0.4396011466154056,0.3181818181818182,22.0,7.0,11.71,0.5093572009764036,2458,1.2527685830538196,00:00
ma1_200,,19.49056313404957,0.5805302490590822,0.5565183977437805,0.2777777777777778,18.0,5.0,38.62,0.526578073089701,2408,1.2183266860536424,00:00
ma1_200,0.03,9.546856482064092,0.4291671275348936,0.49986691800598665,0.4155844155844156,77.0,32.0,3.25,0.4738372093023256,2408,1.0214258216191685,00:00
ma1_200,0.05,17.6399577087932,0.5580148520517672,0.5021067908424128,0.43137254901960786,51.0,22.0,4.53,0.4950166112956811,2408,1.2182406058606443,00:00
ma1_200,0.1,13.98551685192273,0.5073220588920979,0.5305335244287283,0.25806451612903225,31.0,8.0,5.94,0.5128737541528239,2408,1.119135306155952,00:00
ma1_200,0.2,14.293991282237203,0.5119846641675287,0.5610833080276719,0.3333333333333333,21.0,7.0,17.49,0.5232558139534884,2408,1.1198684635111342,00:00
ma2_20,,76.38551703430767,0.8465801189757689,0.47528103650845294,0.34523809523809523,84.0,29.0,6.2,0.5243431221020093,2588,1.5104196234440488,00:00
ma2_20,0.03,76.18490964728258,0.8459042414409976,0.41306448560588194,0.4152542372881356,118.0,49.0,4.28,0.4903400309119011,2588,1.5459423021498429,00:00
ma2_20,0.05,105.99074372211068,0.9329025352447737,0.4723457376212837,0.40625,96.0,39.0,4.7,0.5127511591962906,2588,1.633625472023253,00:00
ma2_20,0.1,90.02075715828236,0.8893327268920983,0.47528103650845244,0.38636363636363635,88.0,34.0,5.82,0.5305255023183926,2588,1.5650955187835138,00:00
ma2_20,0.2,91.14400242478857,0.8926037290662492,0.47528103650845266,0.3488372093023256,86.0,30.0,5.87,0.5343894899536321,2588,1.5537018010628756,00:00
ma2_50,,35.141681910055254,0.6684438349775164,0.49208705151522664,0.275,40.0,11.0,14.92,0.49139953088350274,2558,1.4181603805154008,00:00
ma2_50,0.03,48.9648901376822,0.7473577176375807,0.5095962723110407,0.3548387096774194,93.0,33.0,3.17,0.46637998436278344,2558,1.415556418462929,00:00
ma2_50,0.05,78.77907355690425,0.8680125145914681,0.5604254513016965,0.37681159420289856,69.0,26.0,5.51,0.4874902267396403,2558,1.543633123253565,00:00
ma2_50,0.1,70.84056659863181,0.8402831906531623,0.5582960984366222,0.2978723404255319,47.0,14.0,12.97,0.5074276778733385,2558,1.4962739233617535,00:00
ma2_50,0.2,80.95121478316373,0.8751864509117295,0.554760363848692,0.29545454545454547,44.0,13.0,11.51,0.5140734949179047,2558,1.5245522024650364,00:00
ma2_150,,30.195260820183126,0.6667261841733754,0.4235042040299825,0.35294117647058826,17.0,6.0,23.12,0.5105777054515866,2458,1.3589846259212646,00:00
ma2_150,0.03,15.529951444476534,0.5167251425028967,0.37270812137460435,0.42105263157894735,76.0,32.0,3.13,0.4613506916192026,2458,1.1805849228045222,00:00
ma2_150,0.05,25.503894509915362,0.62687416267674,0.38750453847947774,0.42857142857142855,49.0,21.0,3.92,0.48128559804719284,2458,1.332748117128095,00:00
