,day_starting_at_4am,open,high,low,close,volume_krw,volume_market,price_change,gain,loss,avg_gain,avg_loss,rs,rsi,signal,position,strategy_returns,cumulative_returns,benchmark_returns
0,2021-03-31 04:00:00,70913000.0,72000000.0,70838000.0,71672000.0,80723768628.92195,1128.28906104,,0.0,0.0,0.0,0.0,,,0,0,,,
1,2021-04-01 04:00:00,71619000.0,73117000.0,70670000.0,72997000.0,663580447896.7129,9202.72444219,1325000.0,1325000.0,0.0,662500.0,0.0,inf,100.0,-1,0,0.0,1.0,1.0184869963165533
2,2021-04-02 04:00:00,72997000.0,74400000.0,71841000.0,73791000.0,651482782496.281,8859.98231232,794000.0,794000.0,0.0,706333.3333333334,0.0,inf,100.0,-1,0,0.0,1.0,1.029565241656435
3,2021-04-03 04:00:00,73790000.0,75703000.0,73100000.0,74815000.0,567862273364.973,7604.54511004,1024000.0,1024000.0,0.0,785750.0,0.0,inf,100.0,-1,0,0.0,1.0,1.0438525505078693
4,2021-04-04 04:00:00,74815000.0,75100000.0,71570000.0,73090000.0,616040448077.902,8423.98465,-1725000.0,0.0,1725000.0,628600.0,345000.0,1.8220289855072465,64.5645028759244,0,0,-0.0,1.0,1.0197845741712246
5,2021-04-05 04:00:00,73090000.0,77800000.0,72821000.0,77274000.0,910360581978.4908,12063.60823028,4184000.0,4184000.0,0.0,1221166.6666666667,287500.0,4.247536231884058,80.94343791427309,-1,0,0.0,1.0,1.078161625181382
6,2021-04-06 04:00:00,77275000.0,79500000.0,76210000.0,76883000.0,917260604458.8368,11760.72273196,-391000.0,0.0,391000.0,1046714.2857142857,302285.71428571426,3.4626654064272215,77.59186699142222,-1,0,-0.0,1.0,1.0727062172117423
7,2021-04-07 04:00:00,76883000.0,79422000.0,68500000.0,72413000.0,1392639249081.6587,18732.96276122,-4470000.0,0.0,4470000.0,915875.0,823250.0,1.1125113877922868,52.662977071803354,0,0,-0.0,1.0,1.0103387654872196
8,2021-04-08 04:00:00,72413000.0,74866000.0,70432000.0,74667000.0,698123615538.7758,9594.12352294,2254000.0,2254000.0,0.0,1064555.5555555555,731777.7777777778,1.4547525053143031,59.262695614523416,0,0,0.0,1.0,1.0417875879004352
9,2021-04-09 04:00:00,74667000.0,76435000.0,73369000.0,75974000.0,707609837875.9679,9422.55598551,1307000.0,1307000.0,0.0,1088800.0,658600.0,1.653203765563316,62.309717294265766,0,0,0.0,1.0,1.0600234401160842
10,2021-04-10 04:00:00,75974000.0,79600000.0,75350000.0,78341000.0,717728878064.5874,9189.64307528,2367000.0,2367000.0,0.0,1205000.0,598727.2727272727,2.01260249013058,66.80610856307646,0,0,0.0,1.0,1.0930488893849757
11,2021-04-11 04:00:00,78340000.0,79389000.0,76500000.0,78373000.0,589538202021.8191,7536.60044525,32000.0,32000.0,0.0,1107250.0,548833.3333333334,2.0174612815062254,66.85955819453531,0,0,0.0,1.0,1.093495367786583
12,2021-04-12 04:00:00,78408000.0,79006000.0,77500000.0,78210000.0,505478304577.5551,6449.87849311,-163000.0,0.0,163000.0,1022076.9230769231,519153.8461538461,1.9687361090531932,66.31563186264724,0,0,-0.0,1.0,1.0912211184283958
13,2021-04-13 04:00:00,78129000.0,81987000.0,78000000.0,80910000.0,852713886562.731,10651.13392162,2700000.0,2700000.0,0.0,1141928.5714285714,482071.4285714286,2.3687953770929027,70.31579873328641,-1,0,0.0,1.0,1.1288927335640135
14,2021-04-14 04:00:00,80910000.0,81994000.0,79381000.0,79802000.0,857623868673.751,10584.24734607,-1108000.0,0.0,1108000.0,1141928.5714285714,561214.2857142857,2.034746086292478,67.04831404126824,0,0,-0.0,1.0,1.11343341890836
15,2021-04-15 04:00:00,79700000.0,81000000.0,78576000.0,78747000.0,588142100425.3418,7386.09330014,-1055000.0,0.0,1055000.0,1047285.7142857143,636571.4285714285,1.6451974865350092,62.19563926359549,0,0,-0.0,1.0,1.0987135841053686
16,2021-04-16 04:00:00,78748000.0,81200000.0,77530000.0,78503000.0,813519991861.9263,10258.27306557,-244000.0,0.0,244000.0,990571.4285714285,654000.0,1.5146352118829183,60.23280055594163,0,0,-0.0,1.0,1.0953091862931128
17,2021-04-17 04:00:00,78498000.0,79950000.0,77500000.0,77602000.0,528353032243.74115,6716.86598519,-901000.0,0.0,901000.0,917428.5714285715,718357.1428571428,1.2771204136422394,56.084887122833074,0,0,-0.0,1.0,1.0827380287978567
18,2021-04-18 04:00:00,77601000.0,78365000.0,70924000.0,73050000.0,1114183010707.0745,14958.97862455,-4552000.0,0.0,4552000.0,917428.5714285715,920285.7142857143,0.9968953741074201,49.922263681592035,0,0,-0.0,1.0,1.0192264761692151
19,2021-04-19 04:00:00,73050000.0,76829000.0,71450000.0,72599000.0,876795613836.1392,11860.55298832,-451000.0,0.0,451000.0,618571.4285714285,952500.0,0.6494188226471691,39.37258467833598,0,0,-0.0,1.0,1.012933921196562
20,2021-04-20 04:00:00,72598000.0,73790000.0,66001000.0,70257000.0,1091496131364.6832,15782.2232419,-2342000.0,0.0,2342000.0,618571.4285714285,1091857.142857143,0.5665314667015569,36.16470391714691,0,0,-0.0,1.0,0.9802572831789261
21,2021-04-21 04:00:00,70206000.0,72060000.0,68160000.0,69279000.0,608705562014.3713,8714.41816804,-978000.0,0.0,978000.0,618571.4285714285,842428.5714285715,0.7342716635577411,42.338906815292844,0,0,-0.0,1.0,0.9666117870298023
22,2021-04-22 04:00:00,69279000.0,69620000.0,63417000.0,64262000.0,1014288345330.0457,15313.21144286,-5017000.0,0.0,5017000.0,457571.4285714286,1200785.7142857143,0.38106002022485275,27.5918507989835,1,1,-0.0,1.0,0.8966123451278043
23,2021-04-23 04:00:00,64237000.0,64583000.0,54964000.0,58425000.0,1551630791076.6543,26373.5004598,-5837000.0,0.0,5837000.0,364214.28571428574,1617714.2857142857,0.22514129282938894,18.37676145168848,1,1,-0.09083128442936728,0.9091687155706327,0.8151718941846187
24,2021-04-24 04:00:00,58371000.0,61255000.0,58245000.0,61199000.0,592097959751.8749,9924.71188896,2774000.0,2774000.0,0.0,393285.71428571426,1617714.2857142857,0.2431119745672907,19.55672373375009,1,1,0.04747967479674786,0.9523357505213034,0.8538759906239534
25,2021-04-25 04:00:00,61199000.0,62519000.0,60010000.0,60566000.0,474941278668.23016,7774.78462551,-633000.0,0.0,633000.0,391000.0,1662928.5714285714,0.2351273570722907,19.036689271431058,1,1,-0.010343306263174257,0.9424854501882917,0.8450440897421585
26,2021-04-26 04:00:00,60568000.0,63993000.0,57327000.0,62908000.0,705898890504.4453,11439.62768913,2342000.0,2342000.0,0.0,558285.7142857143,1651285.7142857143,0.338091530409205,25.266696838430207,1,1,0.038668559918105805,0.9789300052908405,0.8777207277597944
27,2021-04-27 04:00:00,63060000.0,64888000.0,62611000.0,64200000.0,555207113007.541,8666.00483948,1292000.0,1292000.0,0.0,457714.28571428574,1651285.7142857143,0.27718660783804827,21.702905913432232,1,1,0.020537928403382644,0.9990351996514267,0.8957472932246899
28,2021-04-28 04:00:00,64192000.0,65899000.0,62608000.0,63649000.0,518291858948.08014,8091.819199,-551000.0,0.0,551000.0,457714.28571428574,1611500.0,0.2840299632108506,22.120197452449162,1,1,-0.008582554517133967,0.9904609255858825,0.8880594932470138
29,2021-04-29 04:00:00,63694000.0,65302000.0,63000000.0,63301000.0,557845775560.6237,8733.58800805,-348000.0,0.0,348000.0,457714.28571428574,1561000.0,0.29321863274457766,22.673554596277683,1,1,-0.005467485742116973,0.9850455945971177,0.8832040406295342
30,2021-04-30 04:00:00,63302000.0,68000000.0,63023000.0,67146000.0,1174508132152.8828,18077.58295266,3845000.0,3845000.0,0.0,732357.1428571428,1543571.4285714286,0.4744562702452568,32.178388726736344,0,1,0.06074153646861813,1.0448787775045902,0.9368512110726639
31,2021-05-01 04:00:00,67146000.0,69386000.0,66965000.0,68601000.0,729744783581.24,10635.93456262,1455000.0,1455000.0,0.0,836285.7142857143,1479214.2857142857,0.5653580568834806,36.11685226887127,0,1,0.0216691984630506,1.0675204631041668,0.9571520258957468
32,2021-05-02 04:00:00,68602000.0,69297000.0,66803000.0,68020000.0,559253416545.6571,8187.84730595,-581000.0,0.0,581000.0,836285.7142857143,1195571.4285714286,0.699486199067989,41.15868663432469,0,1,-0.008469264296438794,1.058479350160281,0.9490456524165639
33,2021-05-03 04:00:00,68020000.0,70999000.0,67795000.0,69597000.0,599973540590.4231,8596.78577036,1577000.0,1577000.0,0.0,948928.5714285715,1163357.142857143,0.8156812181494443,44.92425267144596,0,1,0.023184357541899514,1.0830195138651144,0.9710486661457748
34,2021-05-04 04:00:00,69606000.0,70490000.0,66940000.0,68110000.0,879066720906.6669,12732.79995698,-1487000.0,0.0,1487000.0,948928.5714285715,1102285.7142857143,0.8608735095904614,46.261796148622764,0,1,-0.021365863471126678,1.0598798667953064,0.9503013729210845
35,2021-05-05 04:00:00,68030000.0,70007000.0,66500000.0,68230000.0,786068625977.3688,11486.48746497,120000.0,120000.0,0.0,957500.0,1032428.5714285715,0.9274249342742493,48.11730500017948,0,1,0.0017618558214653746,1.0617472223086737,0.9519756669271121
36,2021-05-06 04:00:00,68246000.0,70853000.0,67899000.0,68396000.0,880700141444.9916,12733.84333153,166000.0,166000.0,0.0,969357.1428571428,674071.4285714285,1.4380629437321184,58.983831710709325,0,1,0.0024329473838486937,1.0643303974354983,0.95429177363545
37,2021-05-07 04:00:00,68396000.0,69729000.0,66900000.0,68213000.0,845329114028.6781,12410.44333824,-183000.0,0.0,183000.0,969357.1428571428,270214.28571428574,3.587364525508855,78.20099112596519,-1,0,-0.002675595064038805,1.0614826802776134,0.9517384752762582
38,2021-05-08 04:00:00,68209000.0,71879000.0,67345000.0,70275000.0,892742926013.3145,12792.62882314,2062000.0,2062000.0,0.0,918500.0,270214.28571428574,3.399154110494316,77.26835716860954,-1,0,0.0,1.0614826802776134,0.9805084272798299
39,2021-05-09 04:00:00,70275000.0,73129000.0,70066000.0,70508000.0,850588134589.7917,11884.46475736,233000.0,233000.0,0.0,935142.8571428572,225000.0,4.156190476190476,80.60583671961581,-1,0,0.0,1.0614826802776134,0.9837593481415332
40,2021-05-10 04:00:00,70459000.0,72460000.0,70169000.0,71599000.0,776114627097.1584,10843.39290924,1091000.0,1091000.0,0.0,845785.7142857143,225000.0,3.759047619047619,78.98739243546127,-1,0,0.0,1.0614826802776134,0.9989814711463328
41,2021-05-11 04:00:00,71599000.0,72460000.0,67597000.0,68874000.0,1002129058284.322,14336.12832299,-2725000.0,0.0,2725000.0,753500.0,419642.85714285716,1.7955744680851062,64.22917681441791,0,0,-0.0,1.0614826802776134,0.9609610447594593
42,2021-05-12 04:00:00,68874000.0,70499000.0,68404000.0,68503000.0,1075872271957.1304,15470.63578802,-371000.0,0.0,371000.0,753500.0,406785.71428571426,1.8523266022827043,64.94090125584832,0,0,-0.0,1.0614826802776134,0.9557846857908244
43,2021-05-13 04:00:00,68503000.0,68972000.0,60200000.0,61815000.0,1797251539663.84,28225.10417114,-6688000.0,0.0,6688000.0,753500.0,859642.8571428572,0.8765267968425425,46.71006021962451,0,0,-0.0,1.0614826802776134,0.8624706998548941
44,2021-05-14 04:00:00,61815000.0,63678000.0,61201000.0,61493000.0,849278403024.5735,13625.23570319,-322000.0,0.0,322000.0,478857.14285714284,882642.8571428572,0.5425265031965687,35.1712921672525,0,0,-0.0,1.0614826802776134,0.8579780109387205
45,2021-05-15 04:00:00,61446000.0,62118000.0,59510000.0,59902000.0,1003160458978.9023,16483.46221868,-1591000.0,0.0,1591000.0,374928.5714285714,996285.7142857143,0.3763263550329796,27.342813981351256,1,1,-0.0,1.0614826802776134,0.8357796629088065
46,2021-05-16 04:00:00,59902000.0,60721000.0,57000000.0,57000000.0,858373233254.4625,14512.79967977,-2902000.0,0.0,2902000.0,374928.5714285714,1162071.4285714286,0.3226381461675579,24.393530997304595,1,1,-0.04844579479817035,1.0100583081670722,0.7952896528630424
47,2021-05-17 04:00:00,57018000.0,58000000.0,51381000.0,53684000.0,1659619064187.8992,30344.05019836,-3316000.0,0.0,3316000.0,262285.71428571426,1398928.5714285714,0.18749042634669388,15.788794771466655,1,1,-0.058175438596491214,0.9512977230814229,0.7490233284964837
48,2021-05-18 04:00:00,53674000.0,56366000.0,53001000.0,53250000.0,844281139245.162,15422.04425892,-434000.0,0.0,434000.0,262285.71428571426,1323714.2857142857,0.1981437513490179,16.537560799855882,1,1,-0.00808434542880565,0.9436071036823964,0.7429679651746843
49,2021-05-19 04:00:00,53260000.0,54139000.0,42595000.0,50359000.0,1875782994366.2263,37679.2482176,-2891000.0,0.0,2891000.0,253714.2857142857,1530214.2857142857,0.16580310880829016,14.222222222222214,1,1,-0.0542910798122066,0.8923776551050103,0.7026314320794728
50,2021-05-20 04:00:00,50357000.0,53701000.0,48328000.0,50340000.0,1179431002210.4338,23113.38327977,-19000.0,0.0,19000.0,241857.14285714287,1531571.4285714286,0.15791437365917357,13.637828258417912,1,1,-0.0003772910502591875,0.8920409690022879,0.7023663355285183
51,2021-05-21 04:00:00,50341000.0,52726000.0,47430000.0,48125000.0,1004731015077.6334,20097.69551399,-2215000.0,0.0,2215000.0,241857.14285714287,1676714.2857142857,0.14424469625969158,12.606105733432614,1,1,-0.04400079459674211,0.8527904575533395,0.6714616586672616
52,2021-05-22 04:00:00,48154000.0,49260000.0,43957000.0,47317000.0,936561633739.6984,19959.72623226,-808000.0,0.0,808000.0,94571.42857142857,1734428.5714285714,0.05452598632732065,5.17066312582989,1,1,-0.016789610389610354,0.8384724380270414,0.6601880790266768
53,2021-05-23 04:00:00,47310000.0,48592000.0,39331000.0,40366000.0,1090005209276.7012,25017.59656969,-6951000.0,0.0,6951000.0,77928.57142857143,2230928.5714285714,0.03493100246534115,3.375201088974137,1,1,-0.14690280448887294,0.7152984853942463,0.5632045987275363
54,2021-05-24 04:00:00,40361000.0,47114000.0,40030000.0,45603000.0,970254643657.0116,22124.47363989,5237000.0,5237000.0,0.0,374071.4285714286,2230928.5714285714,0.16767521531713253,14.35974773786674,1,1,0.12973789823118476,0.8080998074972456,0.6362735796405846
55,2021-05-25 04:00:00,45604000.0,49113000.0,45197000.0,46639000.0,830259053708.7773,17741.84838329,1036000.0,1036000.0,0.0,448071.4285714286,2036285.7142857143,0.22004349656236846,18.03570915154826,1,1,0.022717803653268476,0.8264580602562122,0.6507283178926218
56,2021-05-26 04:00:00,46647000.0,49081000.0,46171000.0,47132000.0,542922047730.67584,11390.84285771,493000.0,493000.0,0.0,483285.71428571426,2009785.7142857143,0.2404662899385151,19.38515313869867,1,1,0.010570552541864009,0.8351941786057975,0.6576068757673845
57,2021-05-27 04:00:00,47132000.0,48120000.0,45423000.0,47157000.0,497168175503.24457,10599.21499312,25000.0,25000.0,0.0,485071.4285714286,1532071.4285714286,0.316611497039489,24.04745042492918,1,1,0.000530425188831396,0.8356371866356953,0.6579556870186403
58,2021-05-28 04:00:00,47166000.0,47450000.0,43009000.0,44086000.0,612422990925.7544,13642.29632059,-3071000.0,0.0,3071000.0,485071.4285714286,1728428.5714285714,0.2806430283494504,21.91422762915873,1,1,-0.06512288737621141,0.7812180802430447,0.6151077129143876
59,2021-05-29 04:00:00,44057000.0,44812000.0,41405000.0,41828000.0,496855718654.20953,11552.64109914,-2258000.0,0.0,2258000.0,485071.4285714286,1776071.4285714286,0.273114820028152,21.45248925954006,1,1,-0.05121807376491405,0.7412055949826719,0.5836030807009709
60,2021-05-30 04:00:00,41828000.0,43781000.0,40580000.0,43362000.0,399252223957.546,9425.8301611,1534000.0,1534000.0,0.0,594642.8571428572,1568785.7142857143,0.37904657833629285,27.48613312202852,1,1,0.03667399827866502,0.7683885676972033,0.6050061390780219
61,2021-05-31 04:00:00,43335000.0,44235000.0,41304000.0,43480000.0,431048768253.0046,10060.15803347,118000.0,118000.0,0.0,603071.4285714285,1331928.5714285714,0.4527806081407197,31.16648209671466,0,1,0.0027212766938793376,0.7704795655983211,0.6066525281839489
62,2021-06-01 04:00:00,43480000.0,44550000.0,42515000.0,42909000.0,401975224750.9865,9231.61163766,-571000.0,0.0,571000.0,603071.4285714285,1341714.2857142857,0.4494782793867121,31.00965952914386,0,1,-0.013132474701011976,0.7603612621954544,0.5986856792052682
63,2021-06-02 04:00:00,42909000.0,44341000.0,42550000.0,44222000.0,324856601698.31744,7493.43296137,1313000.0,1313000.0,0.0,696857.1428571428,1135214.2857142857,0.6138551563581451,38.03657062653515,0,1,0.030599641100934605,0.783628043925689,0.6170052461212187
64,2021-06-03 04:00:00,44222000.0,45692000.0,43439000.0,45020000.0,386533659876.0416,8650.02212276,798000.0,798000.0,0.0,753857.1428571428,1133857.142857143,0.6648607786317248,39.934917511729985,0,1,0.018045316810637146,0.7977688602400279,0.6281393012613012
65,2021-06-04 04:00:00,44999000.0,45554000.0,42210000.0,43241000.0,436348167483.6435,9947.90326409,-1779000.0,0.0,1779000.0,753857.1428571428,1102714.2857142857,0.6836377769141081,40.60480147737766,0,1,-0.03951577076854729,0.7662444088324978,0.6033178926219442
66,2021-06-05 04:00:00,43250000.0,43766000.0,41630000.0,42407000.0,275680957779.7701,6444.71281775,-834000.0,0.0,834000.0,753857.1428571428,1104571.4285714286,0.6824883600620796,40.564224767468666,0,1,-0.019287250526121014,0.7514656609551059,0.5916815492800535
67,2021-06-06 04:00:00,42407000.0,42615000.0,41468000.0,41871000.0,210019357992.53336,5005.64838786,-536000.0,0.0,536000.0,753857.1428571428,646357.1428571428,1.1663167200795668,53.83869815844513,0,1,-0.012639422736812289,0.7419675687940963,0.5842030360531308
68,2021-06-07 04:00:00,41871000.0,42458000.0,41310000.0,41382000.0,226949620974.10373,5424.88307781,-489000.0,0.0,489000.0,379785.71428571426,681285.7142857143,0.5574543929544977,35.79266240323123,0,1,-0.011678727520240795,0.7333023317292945,0.5773802879785689
69,2021-06-08 04:00:00,41382000.0,41647000.0,36364000.0,37785000.0,581817862651.1782,15111.5460813,-3597000.0,0.0,3597000.0,305785.71428571426,938214.2857142857,0.3259231062047963,24.580845199816252,1,1,-0.08692185007974484,0.6695623363875934,0.5271933251478959
70,2021-06-09 04:00:00,37785000.0,42379000.0,37200000.0,41315000.0,637054170707.4347,15943.6210806,3530000.0,3530000.0,0.0,522714.28571428574,938214.2857142857,0.5571374191092502,35.77959223585782,0,1,0.09342331613073962,0.7321150702091682,0.5764454738252035
71,2021-06-10 04:00:00,41325000.0,44620000.0,41081000.0,42812000.0,775844759347.1976,17998.41289933,1497000.0,1497000.0,0.0,627857.1428571428,938214.2857142857,0.6692044156832889,40.09122006841505,0,1,0.036233813384969116,0.7586423910394507,0.597332291550396
72,2021-06-11 04:00:00,42793000.0,43682000.0,42042000.0,43211000.0,680088336106.2133,15821.4206455,399000.0,399000.0,0.0,656357.1428571428,718857.1428571428,0.9130564387917329,47.72762686334597,0,1,0.009319816873773812,0.7657127991966204,0.6028993191204374
73,2021-06-12 04:00:00,43194000.0,44088000.0,40640000.0,41740000.0,714514565741.2793,16995.78086549,-1471000.0,0.0,1471000.0,656357.1428571428,662642.8571428572,0.9905141748410046,49.76172424997292,0,1,-0.03404225775844116,0.7396462067174315,0.5823752650965508
74,2021-06-13 04:00:00,41740000.0,43580000.0,40543000.0,43450000.0,375277676720.3897,8995.93054218,1710000.0,1710000.0,0.0,668928.5714285715,662642.8571428572,1.0094858251589953,50.236026177448764,0,1,0.040967896502156265,0.7699479559624437,0.6062339546824421
75,2021-06-14 04:00:00,43466000.0,47401000.0,43120000.0,45962000.0,983923910180.858,21575.3697981,2512000.0,2512000.0,0.0,839928.5714285715,662642.8571428572,1.2675433868707557,55.899410534322115,0,1,0.057813578826237055,0.8144614028065785,0.641282509208617
76,2021-06-15 04:00:00,45971000.0,47500000.0,45483000.0,46771000.0,497099574993.3966,10738.63829469,809000.0,809000.0,0.0,897714.2857142857,621857.1428571428,1.4436021134849528,59.076807370499196,0,1,0.017601496888734136,0.8287971426540726,0.652570041299252
77,2021-06-16 04:00:00,46771000.0,46884000.0,44887000.0,45558000.0,476220720099.66736,10406.78274299,-1213000.0,0.0,1213000.0,803928.5714285715,708500.0,1.1346909970763182,53.15481250590347,0,1,-0.025934874174167732,0.8073023930434294,0.6356457193883245
78,2021-06-17 04:00:00,45558000.0,46200000.0,44520000.0,44713000.0,513294967719.64136,11286.03921769,-845000.0,0.0,845000.0,746928.5714285715,768857.1428571428,0.9714790040876998,49.27665991235098,0,1,-0.018547785240791925,0.7923287216328825,0.6238558990958811
79,2021-06-18 04:00:00,44713000.0,45049000.0,42330000.0,42400000.0,631489342585.862,14342.39278338,-2313000.0,0.0,2313000.0,746928.5714285715,807000.0,0.9255620463798903,48.06711100896346,0,1,-0.05172992194663739,0.7513416187067344,0.5915838821297019
80,2021-06-19 04:00:00,42400000.0,43000000.0,41364000.0,42034000.0,444495165197.8278,10530.23776709,-366000.0,0.0,366000.0,746928.5714285715,773571.4285714285,0.9655586334256696,49.12387842345094,0,1,-0.008632075471698086,0.7448559811490301,0.5864772854113182
81,2021-06-20 04:00:00,42073000.0,42662000.0,39785000.0,41220000.0,503457533195.9765,12238.28567789,-814000.0,0.0,814000.0,746928.5714285715,793428.5714285715,0.9413935902052575,48.49060978437283,0,1,-0.01936527572917157,0.7304316396955565,0.5751199910704319
82,2021-06-21 04:00:00,41218000.0,42342000.0,37900000.0,38890000.0,808593620604.9517,20429.8533378,-2330000.0,0.0,2330000.0,746928.5714285715,924928.5714285715,0.8075527067727237,44.67657865504572,0,1,-0.05652595827268314,0.6891432913090779,0.5426107824533988
83,2021-06-22 04:00:00,38890000.0,39068000.0,33900000.0,38089000.0,1186194318749.7046,32274.56705346,-801000.0,0.0,801000.0,746928.5714285715,725214.2857142857,1.0299418890968188,50.73750606501699,0,1,-0.020596554384160415,0.6749493140311512,0.5314348699631655
84,2021-06-23 04:00:00,38089000.0,40099000.0,36726000.0,38772000.0,711804761205.3307,18308.59320256,683000.0,683000.0,0.0,543571.4285714285,725214.2857142857,0.7495321579828622,42.841862298035245,0,1,0.017931686313633843,0.6870522934079601,0.5409643933474717
85,2021-06-24 04:00:00,38772000.0,40705000.0,37770000.0,40320000.0,475744530883.5987,12230.31404193,1548000.0,1548000.0,0.0,547214.2857142857,725214.2857142857,0.7545553038510785,43.00550129111934,0,1,0.03992571959145774,0.7144833506192343,0.5625627860252259
86,2021-06-25 04:00:00,40372000.0,40956000.0,37083000.0,37545000.0,531644215955.66705,13562.76797557,-2775000.0,0.0,2775000.0,518714.28571428574,923428.5714285715,0.5617264851485149,35.96830113917781,0,1,-0.06882440476190477,0.6653094593005742,0.5238447371358409
87,2021-06-26 04:00:00,37573000.0,37999000.0,35522000.0,36999000.0,537822063629.44226,14638.98224436,-546000.0,0.0,546000.0,518714.28571428574,857357.1428571428,0.6050154128134634,37.695302361796,0,1,-0.014542548941270494,0.6556341639276053,0.5162266994084159
88,2021-06-27 04:00:00,36951000.0,39170000.0,36302000.0,38089000.0,414997101185.90967,10878.98789271,1090000.0,1090000.0,0.0,474428.5714285714,857357.1428571428,0.5533616595851037,35.623491552695086,0,1,0.029460255682586034,0.6749493140311511,0.5314348699631654
89,2021-06-28 04:00:00,38089000.0,40570000.0,37920000.0,39620000.0,540621341255.2557,13598.29700154,1531000.0,1531000.0,0.0,404357.14285714284,857357.1428571428,0.47163209197700573,32.04823369565217,0,1,0.04019533198561254,0.7020791257820946,0.5527960709900657
90,2021-06-29 04:00:00,39620000.0,42100000.0,39591000.0,41877000.0,554627781136.4937,13598.80653726,2257000.0,2257000.0,0.0,507785.71428571426,857357.1428571428,0.5922685995167875,37.196525742988705,0,1,0.056966178697627434,0.7420738907212715,0.5842867507534321
91,2021-06-30 04:00:00,41878000.0,42180000.0,40010000.0,40397000.0,349284746702.9212,8556.74309686,-1480000.0,0.0,1480000.0,507785.71428571426,876428.5714285715,0.5793806030969845,36.684039424118886,0,1,-0.035341595625283606,0.7158478153513195,0.5636371246790934
92,2021-07-01 04:00:00,40397000.0,40810000.0,38668000.0,39199000.0,387259945285.16187,9758.69218807,-1198000.0,0.0,1198000.0,507785.71428571426,901642.8571428572,0.5631783252792522,36.02777214676667,0,1,-0.029655667500061877,0.694618870558615,0.5469220895189193
93,2021-07-02 04:00:00,39199000.0,39834000.0,38288000.0,39000000.0,273384661739.47855,7014.00494448,-199000.0,0.0,199000.0,507785.71428571426,750642.8571428572,0.6764677895137501,40.35077761380406,0,1,-0.005076660118880638,0.6910925266406283,0.5441455519589238
94,2021-07-03 04:00:00,38975000.0,40535000.0,38769000.0,40359000.0,197530026729.71747,4968.05623794,1359000.0,1359000.0,0.0,604857.1428571428,724500.0,0.8348614808242137,45.499973134167966,0,1,0.03484615384615375,0.7151744431458747,0.5631069315771847
95,2021-07-04 04:00:00,40329000.0,41500000.0,40050000.0,41178000.0,191481016509.9705,4687.08105075,819000.0,819000.0,0.0,663357.1428571428,666357.1428571428,0.9954979097438096,49.887193811774814,0,1,0.02029287147848069,0.729687386205328,0.5745339881683221
96,2021-07-05 04:00:00,41178000.0,41643000.0,38957000.0,39724000.0,348457206827.8169,8721.5739634,-1454000.0,0.0,1454000.0,663357.1428571428,603785.7142857143,1.0986631964982845,52.35062006764374,0,1,-0.03531011705279519,0.7039220391864697,0.5542471257952895
97,2021-07-06 04:00:00,39745000.0,40650000.0,39340000.0,39545000.0,256347650675.23715,6429.69168296,-179000.0,0.0,179000.0,663357.1428571428,559357.1428571428,1.185927723151577,54.2528332749153,0,1,-0.00450609203504182,0.7007501016924012,0.5517496372362984
98,2021-07-07 04:00:00,39596000.0,40727000.0,39491000.0,40499000.0,213404821631.15985,5307.16799144,954000.0,954000.0,0.0,682714.2857142857,559357.1428571428,1.2205337760183885,54.96578296624303,0,1,0.024124415223163442,0.7176552881133026,0.5650602745842167
99,2021-07-08 04:00:00,40489000.0,40545000.0,38200000.0,38973000.0,334317130954.9501,8557.24438313,-1526000.0,0.0,1526000.0,572142.8571428572,668357.1428571428,0.8560436037191408,46.12195543271722,0,1,-0.03767994271463493,0.6906140779683385,0.5437688358075675
