,day_starting_at_4am,open,high,low,close,volume_krw,volume_market,Hashrate (TH/s)
0,2021-04-01 04:00:00,71619000.0,73117000.0,70670000.0,72997000.0,663580447896.7129,9202.72444219,158693646.7559898
1,2021-04-02 04:00:00,72997000.0,74400000.0,71841000.0,73791000.0,651482782496.281,8859.98231232,170650017.401989
2,2021-04-03 04:00:00,73790000.0,75703000.0,73100000.0,74815000.0,567862273364.973,7604.54511004,157606703.96998987
3,2021-04-04 04:00:00,74815000.0,75100000.0,71570000.0,73090000.0,616040448077.902,8423.98465,160517766.38346806
4,2021-04-05 04:00:00,73090000.0,77800000.0,72821000.0,77274000.0,910360581978.4908,12063.60823028,150672055.73110902
5,2021-04-06 04:00:00,77275000.0,79500000.0,76210000.0,76883000.0,917260604458.8368,11760.72273196,167924581.1965032
6,2021-04-07 04:00:00,76883000.0,79422000.0,68500000.0,72413000.0,1392639249081.6587,18732.96276122,179426264.84009933
7,2021-04-08 04:00:00,72413000.0,74866000.0,70432000.0,74667000.0,698123615538.7758,9594.12352294,165624244.467784
8,2021-04-09 04:00:00,74667000.0,76435000.0,73369000.0,75974000.0,707609837875.9679,9422.55598551,180576433.20445892
9,2021-04-10 04:00:00,75974000.0,79600000.0,75350000.0,78341000.0,717728878064.5874,9189.64307528,154122560.82418784
10,2021-04-11 04:00:00,78340000.0,79389000.0,76500000.0,78373000.0,589538202021.8191,7536.60044525,174825591.38266087
11,2021-04-12 04:00:00,78408000.0,79006000.0,77500000.0,78210000.0,505478304577.5551,6449.87849311,180576433.20445892
12,2021-04-13 04:00:00,78129000.0,81987000.0,78000000.0,80910000.0,852713886562.731,10651.13392162,166774412.8321436
13,2021-04-14 04:00:00,80910000.0,81994000.0,79381000.0,79802000.0,857623868673.751,10584.24734607,165624244.467784
14,2021-04-15 04:00:00,79700000.0,81000000.0,78576000.0,78747000.0,588142100425.3418,7386.09330014,163323907.73906472
15,2021-04-16 04:00:00,78748000.0,81200000.0,77530000.0,78503000.0,813519991861.9263,10258.27306557,155272729.1885475
16,2021-04-17 04:00:00,78498000.0,79950000.0,77500000.0,77602000.0,528353032243.74115,6716.86598519,198514005.70963436
17,2021-04-18 04:00:00,77601000.0,78365000.0,70924000.0,73050000.0,1114183010707.0745,14958.97862455,120743465.5644424
18,2021-04-19 04:00:00,73050000.0,76829000.0,71450000.0,72599000.0,876795613836.1392,11860.55298832,106676265.69285686
19,2021-04-20 04:00:00,72598000.0,73790000.0,66001000.0,70257000.0,1091496131364.6832,15782.2232419,145361065.33971703
20,2021-04-21 04:00:00,70206000.0,72060000.0,68160000.0,69279000.0,608705562014.3713,8714.41816804,113709865.62864962
21,2021-04-22 04:00:00,69279000.0,69620000.0,63417000.0,64262000.0,1014288345330.0457,15313.21144286,150050131.96357888
22,2021-04-23 04:00:00,64237000.0,64583000.0,54964000.0,58425000.0,1551630791076.6543,26373.5004598,118398932.25251147
23,2021-04-24 04:00:00,58371000.0,61255000.0,58245000.0,61199000.0,592097959751.8749,9924.71188896,167634131.8030608
24,2021-04-25 04:00:00,61199000.0,62519000.0,60010000.0,60566000.0,474941278668.23016,7774.78462551,158255998.5553371
25,2021-04-26 04:00:00,60568000.0,63993000.0,57327000.0,62908000.0,705898890504.4453,11439.62768913,169978665.11499172
26,2021-04-27 04:00:00,63060000.0,64888000.0,62611000.0,64200000.0,555207113007.541,8666.00483948,165289598.49112985
27,2021-04-28 04:00:00,64192000.0,65899000.0,62608000.0,63649000.0,518291858948.08014,8091.819199,133638398.78006244
28,2021-04-29 04:00:00,63694000.0,65302000.0,63000000.0,63301000.0,557845775560.6237,8733.58800805,166461865.14709532
29,2021-04-30 04:00:00,63302000.0,68000000.0,63023000.0,67146000.0,1174508132152.8828,18077.58295266,166461865.14709532
30,2021-05-01 04:00:00,67146000.0,69386000.0,66965000.0,68601000.0,729744783581.24,10635.93456262,143016532.0277861
31,2021-05-02 04:00:00,68602000.0,69297000.0,66803000.0,68020000.0,559253416545.6571,8187.84730595,169978665.11499172
32,2021-05-03 04:00:00,68020000.0,70999000.0,67795000.0,69597000.0,599973540590.4231,8596.78577036,158954589.9843886
33,2021-05-04 04:00:00,69606000.0,70490000.0,66940000.0,68110000.0,879066720906.6669,12732.79995698,189527186.50027975
34,2021-05-05 04:00:00,68030000.0,70007000.0,66500000.0,68230000.0,786068625977.3688,11486.48746497,181331416.27324066
35,2021-05-06 04:00:00,68246000.0,70853000.0,67899000.0,68396000.0,880700141444.9916,12733.84333153,185429301.3867602
36,2021-05-07 04:00:00,68396000.0,69729000.0,66900000.0,68213000.0,845329114028.6781,12410.44333824,160841990.70564282
37,2021-05-08 04:00:00,68209000.0,71879000.0,67345000.0,70275000.0,892742926013.3145,12792.62882314,174160117.3245814
38,2021-05-09 04:00:00,70275000.0,73129000.0,70066000.0,70508000.0,850588134589.7917,11884.46475736,176209059.88134116
39,2021-05-10 04:00:00,70459000.0,72460000.0,70169000.0,71599000.0,776114627097.1584,10843.39290924,175184588.60296133
40,2021-05-11 04:00:00,71599000.0,72460000.0,67597000.0,68874000.0,1002129058284.322,14336.12832299,190551657.77865964
41,2021-05-12 04:00:00,68874000.0,70499000.0,68404000.0,68503000.0,1075872271957.1304,15470.63578802,184404830.1083803
42,2021-05-13 04:00:00,68503000.0,68972000.0,60200000.0,61815000.0,1797251539663.84,28225.10417114,176209059.88134116
43,2021-05-14 04:00:00,61815000.0,63678000.0,61201000.0,61493000.0,849278403024.5735,13625.23570319,176209059.88134116
44,2021-05-15 04:00:00,61446000.0,62118000.0,59510000.0,59902000.0,1003160458978.9023,16483.46221868,185896531.25400168
45,2021-05-16 04:00:00,59902000.0,60721000.0,57000000.0,57000000.0,858373233254.4625,14512.79967977,166839065.28467855
46,2021-05-17 04:00:00,57018000.0,58000000.0,51381000.0,53684000.0,1659619064187.8992,30344.05019836,153143321.1195184
47,2021-05-18 04:00:00,53674000.0,56366000.0,53001000.0,53250000.0,844281139245.162,15422.04425892,164348929.98192218
48,2021-05-19 04:00:00,53260000.0,54139000.0,42595000.0,50359000.0,1875782994366.2263,37679.2482176,150653185.81676203
49,2021-05-20 04:00:00,50357000.0,53701000.0,48328000.0,50340000.0,1179431002210.4338,23113.38327977,124506765.13781983
50,2021-05-21 04:00:00,50341000.0,52726000.0,47430000.0,48125000.0,1004731015077.6334,20097.69551399,155633456.42227483
51,2021-05-22 04:00:00,48154000.0,49260000.0,43957000.0,47317000.0,936561633739.6984,19959.72623226,139447576.95435822
52,2021-05-23 04:00:00,47310000.0,48592000.0,39331000.0,40366000.0,1090005209276.7012,25017.59656969,136957441.6516018
53,2021-05-24 04:00:00,40361000.0,47114000.0,40030000.0,45603000.0,970254643657.0116,22124.47363989,144427847.55987102
54,2021-05-25 04:00:00,45604000.0,49113000.0,45197000.0,46639000.0,830259053708.7773,17741.84838329,148163050.51400563
55,2021-05-26 04:00:00,46647000.0,49081000.0,46171000.0,47132000.0,542922047730.67584,11390.84285771,156878524.07365298
56,2021-05-27 04:00:00,47132000.0,48120000.0,45423000.0,47157000.0,497168175503.24457,10599.21499312,153143321.1195184
57,2021-05-28 04:00:00,47166000.0,47450000.0,43009000.0,44086000.0,612422990925.7544,13642.29632059,151898253.46814018
58,2021-05-29 04:00:00,44057000.0,44812000.0,41405000.0,41828000.0,496855718654.20953,11552.64109914,145672915.21124923
59,2021-05-30 04:00:00,41828000.0,43781000.0,40580000.0,43362000.0,399252223957.546,9425.8301611,148163050.51400563
60,2021-05-31 04:00:00,43335000.0,44235000.0,41304000.0,43480000.0,431048768253.0046,10060.15803347,144427847.55987102
61,2021-06-01 04:00:00,43480000.0,44550000.0,42515000.0,42909000.0,401975224750.9865,9231.61163766,151858199.84334671
62,2021-06-02 04:00:00,42909000.0,44341000.0,42550000.0,44222000.0,324856601698.31744,7493.43296137,147526659.02062267
63,2021-06-03 04:00:00,44222000.0,45692000.0,43439000.0,45020000.0,386533659876.0416,8650.02212276,148572947.38247102
64,2021-06-04 04:00:00,44999000.0,45554000.0,42210000.0,43241000.0,436348167483.6435,9947.90326409,173683868.0668324
65,2021-06-05 04:00:00,43250000.0,43766000.0,41630000.0,42407000.0,275680957779.7701,6444.71281775,153804389.191713
66,2021-06-06 04:00:00,42407000.0,42615000.0,41468000.0,41871000.0,210019357992.53336,5005.64838786,137063775.4021388
67,2021-06-07 04:00:00,41871000.0,42458000.0,41310000.0,41382000.0,226949620974.10373,5424.88307781,137063775.4021388
68,2021-06-08 04:00:00,41382000.0,41647000.0,36364000.0,37785000.0,581817862651.1782,15111.5460813,156943254.27725816
69,2021-06-09 04:00:00,37785000.0,42379000.0,37200000.0,41315000.0,637054170707.4347,15943.6210806,139156352.12583557
70,2021-06-10 04:00:00,41325000.0,44620000.0,41081000.0,42812000.0,775844759347.1976,17998.41289933,155896965.91540977
71,2021-06-11 04:00:00,42793000.0,43682000.0,42042000.0,43211000.0,680088336106.2133,15821.4206455,131832333.59289683
72,2021-06-12 04:00:00,43194000.0,44088000.0,40640000.0,41740000.0,714514565741.2793,16995.78086549,123462026.69810976
73,2021-06-13 04:00:00,41740000.0,43580000.0,40543000.0,43450000.0,375277676720.3897,8995.93054218,109860277.9940807
74,2021-06-14 04:00:00,43466000.0,47401000.0,43120000.0,45962000.0,983923910180.858,21575.3697981,138110063.76398718
75,2021-06-15 04:00:00,45971000.0,47500000.0,45483000.0,46771000.0,497099574993.3966,10738.63829469,136724465.12868512
76,2021-06-16 04:00:00,46771000.0,46884000.0,44887000.0,45558000.0,476220720099.66736,10406.78274299,133766696.2189013
77,2021-06-17 04:00:00,45558000.0,46200000.0,44520000.0,44713000.0,513294967719.64136,11286.03921769,129803238.5531561
78,2021-06-18 04:00:00,44713000.0,45049000.0,42330000.0,42400000.0,631489342585.862,14342.39278338,121876323.22166562
79,2021-06-19 04:00:00,42400000.0,43000000.0,41364000.0,42034000.0,444495165197.8278,10530.23776709,128812374.13671976
80,2021-06-20 04:00:00,42073000.0,42662000.0,39785000.0,41220000.0,503457533195.9765,12238.28567789,122867187.63810194
81,2021-06-21 04:00:00,41218000.0,42342000.0,37900000.0,38890000.0,808593620604.9517,20429.8533378,102059034.89293952
82,2021-06-22 04:00:00,38890000.0,39068000.0,33900000.0,38089000.0,1186194318749.7046,32274.56705346,104040763.72581212
83,2021-06-23 04:00:00,38089000.0,40099000.0,36726000.0,38772000.0,711804761205.3307,18308.59320256,104040763.72581212
84,2021-06-24 04:00:00,38772000.0,40705000.0,37770000.0,40320000.0,475744530883.5987,12230.31404193,90168661.89570382
85,2021-06-25 04:00:00,40372000.0,40956000.0,37083000.0,37545000.0,531644215955.66705,13562.76797557,100077306.0600669
86,2021-06-26 04:00:00,37573000.0,37999000.0,35522000.0,36999000.0,537822063629.44226,14638.98224436,104040763.72581212
87,2021-06-27 04:00:00,36951000.0,39170000.0,36302000.0,38089000.0,414997101185.90967,10878.98789271,108995085.80799364
88,2021-06-28 04:00:00,38089000.0,40570000.0,37920000.0,39620000.0,540621341255.2557,13598.29700154,88186933.06283121
89,2021-06-29 04:00:00,39620000.0,42100000.0,39591000.0,41877000.0,554627781136.4937,13598.80653726,58461000.569742054
90,2021-06-30 04:00:00,41878000.0,42180000.0,40010000.0,40397000.0,349284746702.9212,8556.74309686,86205204.22995861
91,2021-07-01 04:00:00,40397000.0,40810000.0,38668000.0,39199000.0,387259945285.16187,9758.69218807,89177797.47926754
92,2021-07-02 04:00:00,39199000.0,39834000.0,38288000.0,39000000.0,273384661739.47855,7014.00494448,88186933.06283121
93,2021-07-03 04:00:00,38975000.0,40535000.0,38769000.0,40359000.0,197530026729.71747,4968.05623794,94132119.56144907
94,2021-07-04 04:00:00,40329000.0,41500000.0,40050000.0,41178000.0,191481016509.9705,4687.08105075,89177797.47926754
95,2021-07-05 04:00:00,41178000.0,41643000.0,38957000.0,39724000.0,348457206827.8169,8721.5739634,98706076.21227616
96,2021-07-06 04:00:00,39745000.0,40650000.0,39340000.0,39545000.0,256347650675.23715,6429.69168296,82108836.0775171
97,2021-07-07 04:00:00,39596000.0,40727000.0,39491000.0,40499000.0,213404821631.15985,5307.16799144,94246664.01941094
98,2021-07-08 04:00:00,40489000.0,40545000.0,38200000.0,38973000.0,334317130954.9501,8557.24438313,101386562.80876024
99,2021-07-09 04:00:00,38973000.0,39612000.0,38123000.0,39306000.0,236332602102.6314,6068.33168449,87820755.10899657
