,day_starting_at_9am,open,high,low,close,volume_krw,volume_market
0,2021-03-31 09:00:00,70913000.0,72000000.0,70670000.0,71513000.0,162280584573.3343,2272.38132224
1,2021-04-01 09:00:00,71480000.0,73325000.0,71032000.0,72749000.0,663054408604.5876,9170.38195837
2,2021-04-02 09:00:00,72749000.0,74400000.0,71841000.0,73855000.0,641390934277.5391,8712.29408175
3,2021-04-03 09:00:00,73934000.0,75703000.0,71783000.0,72187000.0,689271747852.9937,9274.31810933
4,2021-04-04 09:00:00,72187000.0,74240000.0,71570000.0,73974000.0,482192010408.1917,6583.43812795
5,2021-04-05 09:00:00,73908000.0,78780000.0,73890000.0,78770000.0,1019472232792.4523,13425.68167755
6,2021-04-06 09:00:00,78770000.0,79500000.0,76210000.0,77944000.0,844274109848.908,10824.67205698
7,2021-04-07 09:00:00,77919000.0,79422000.0,68500000.0,72850000.0,1416206002268.3818,19134.036573459998
8,2021-04-08 09:00:00,72850000.0,75325000.0,70432000.0,75316000.0,664197613928.4746,9100.78753643
9,2021-04-09 09:00:00,75315000.0,76435000.0,73369000.0,76066000.0,687900622194.2562,9146.07028224
10,2021-04-10 09:00:00,76072000.0,79600000.0,75643000.0,78530000.0,721810506821.3654,9218.16259215
11,2021-04-11 09:00:00,78531000.0,79389000.0,76500000.0,78743000.0,574860463432.6642,7344.85268323
12,2021-04-12 09:00:00,78835000.0,79006000.0,77500000.0,78178000.0,494437344223.40924,6311.01494764
13,2021-04-13 09:00:00,78178000.0,81987000.0,78000000.0,80736000.0,895503939739.843,11167.52534366
14,2021-04-14 09:00:00,80736000.0,81994000.0,79500000.0,80401000.0,863549348789.3611,10657.87740103
15,2021-04-15 09:00:00,80401000.0,80798000.0,78576000.0,79670000.0,585331712495.1007,7368.13856612
16,2021-04-16 09:00:00,79670000.0,81200000.0,77530000.0,79351000.0,797143834946.1368,10053.0887355
17,2021-04-17 09:00:00,79322000.0,79950000.0,77500000.0,77905000.0,502212590371.08325,6395.62622905
18,2021-04-18 09:00:00,77909000.0,78365000.0,70924000.0,75643000.0,1194869098599.0752,16046.04765964
19,2021-04-19 09:00:00,75692000.0,76829000.0,70780000.0,71456000.0,872092007452.5381,11873.87050755
20,2021-04-20 09:00:00,71448000.0,72077000.0,66001000.0,70402000.0,1086831484455.7179,15744.7357605
21,2021-04-21 09:00:00,70400000.0,71490000.0,67601000.0,68198000.0,594846550503.2,8571.53433839
22,2021-04-22 09:00:00,68193000.0,69000000.0,59111000.0,59962000.0,1334058457400.9302,20651.790275979998
23,2021-04-23 09:00:00,59950000.0,61900000.0,54964000.0,60900000.0,1272480601805.9895,21936.27526798
24,2021-04-24 09:00:00,60901000.0,62519000.0,58500000.0,60853000.0,550328937893.737,9176.44810744
25,2021-04-25 09:00:00,60853000.0,62050000.0,57327000.0,59859000.0,530491425858.0994,8791.28712271
26,2021-04-26 09:00:00,59850000.0,64300000.0,59075000.0,64198000.0,639281238505.2628,10198.12024134
27,2021-04-27 09:00:00,64198000.0,65000000.0,63375000.0,64767000.0,514080643019.6775,8003.35594526
28,2021-04-28 09:00:00,64759000.0,65899000.0,62608000.0,64100000.0,531483203577.5495,8304.377217539999
29,2021-04-29 09:00:00,64060000.0,64900000.0,63000000.0,63814000.0,591412571144.7734,9270.47473273
30,2021-04-30 09:00:00,63816000.0,68540000.0,63500000.0,67939000.0,1197640896050.342,18322.27981277
31,2021-05-01 09:00:00,67956000.0,69386000.0,67557000.0,69049000.0,678036571369.5531,9860.60752162
32,2021-05-02 09:00:00,69041000.0,69297000.0,66803000.0,68452000.0,543840573039.7181,7970.05903976
33,2021-05-03 09:00:00,68452000.0,70999000.0,68281000.0,69996000.0,658850341681.7671,9426.09845223
34,2021-05-04 09:00:00,69996000.0,70490000.0,66500000.0,66829000.0,868911421472.1168,12631.584901459999
35,2021-05-05 09:00:00,66828000.0,70007000.0,66500000.0,68679000.0,804024775720.5424,11726.63421242
36,2021-05-06 09:00:00,68700000.0,70853000.0,67899000.0,68767000.0,904068945799.3906,13078.41996809
37,2021-05-07 09:00:00,68760000.0,69729000.0,66900000.0,68563000.0,819830312855.9326,12047.6815528
38,2021-05-08 09:00:00,68564000.0,71879000.0,67610000.0,71740000.0,881406410488.2178,12558.43062882
39,2021-05-09 09:00:00,71728000.0,73129000.0,70147000.0,71505000.0,843543861353.1299,11786.59649177
40,2021-05-10 09:00:00,71506000.0,72460000.0,70175000.0,70902000.0,937362461910.9203,13096.222376310001
41,2021-05-11 09:00:00,70902000.0,71750000.0,67597000.0,69741000.0,827117926967.4032,11913.28320208
42,2021-05-12 09:00:00,69714000.0,70499000.0,60854000.0,62257000.0,1505870407356.399,22173.21879
43,2021-05-13 09:00:00,62380000.0,65472000.0,60200000.0,63069000.0,1422951884853.1233,22547.5357541
44,2021-05-14 09:00:00,63080000.0,63656000.0,61001000.0,61797000.0,821862466125.797,13221.57503799
45,2021-05-15 09:00:00,61795000.0,62118000.0,57900000.0,58807000.0,1059012110721.2826,17508.20716437
46,2021-05-16 09:00:00,58814000.0,60721000.0,55500000.0,57649000.0,967020553997.1249,16552.64330014
47,2021-05-17 09:00:00,57655000.0,58000000.0,51381000.0,54057000.0,1490995015415.6033,27456.42210679
48,2021-05-18 09:00:00,54057000.0,56366000.0,53001000.0,53419000.0,824428496120.5553,15075.12157223
49,2021-05-19 09:00:00,53404000.0,53992000.0,42595000.0,50379000.0,1999142167043.815,40112.86111135
50,2021-05-20 09:00:00,50477000.0,53070000.0,48328000.0,51320000.0,1086531552690.5686,21350.8166367
51,2021-05-21 09:00:00,51318000.0,52726000.0,45701000.0,49112000.0,1096343126565.4725,22198.61379209
52,2021-05-22 09:00:00,49080000.0,49260000.0,43957000.0,47460000.0,776466334420.9885,16597.85063127
53,2021-05-23 09:00:00,47444000.0,48592000.0,39331000.0,42585000.0,1183273079066.374,27384.56412739
54,2021-05-24 09:00:00,42585000.0,47452000.0,41253000.0,46963000.0,997947887508.5018,22353.30949228
55,2021-05-25 09:00:00,46932000.0,49113000.0,45197000.0,47047000.0,719724304376.1548,15379.79580919
56,2021-05-26 09:00:00,47067000.0,49081000.0,46265000.0,47325000.0,542898496923.52856,11383.21756444
57,2021-05-27 09:00:00,47324000.0,48120000.0,45423000.0,46563000.0,485327245758.55164,10358.12372991
58,2021-05-28 09:00:00,46568000.0,47069000.0,43009000.0,43723000.0,653789886693.8527,14678.13363228
