Date,Actual,Predicted
2024-01-10 04:00:00,62295000.85169078,62022951.2910843
2024-01-11 04:00:00,63900002.46310235,63380692.921996124
2024-01-12 04:00:00,60227000.640571125,64571330.02209664
2024-01-13 04:00:00,58897000.08368493,64905687.5243187
2024-01-14 04:00:00,58763000.28055907,64155053.10106278
2024-01-15 04:00:00,58833999.41927195,62855618.93761159
2024-01-16 04:00:00,59075000.15449525,61360124.43041802
2024-01-17 04:00:00,58649999.87423421,60482226.9332409
2024-01-18 04:00:00,57539001.15573407,59983837.62061597
2024-01-19 04:00:00,57600000.346064575,59402509.59706307
2024-01-20 04:00:00,57506000.33646823,59231595.0908661
2024-01-21 04:00:00,57591999.39775468,58908182.60884286
2024-01-22 04:00:00,55711999.20582772,58619198.44985009
2024-01-23 04:00:00,54052000.35232306,57892017.64130593
2024-01-24 04:00:00,54893999.964535244,56743334.80262757
2024-01-25 04:00:00,55037999.71604348,55844165.767550476
2024-01-26 04:00:00,57887999.84908105,55184530.379772194
2024-01-27 04:00:00,57591999.39775468,55402302.63519288
2024-01-28 04:00:00,57829999.15885926,56278780.050635345
2024-01-29 04:00:00,58717001.01280213,57368096.54557706
2024-01-30 04:00:00,59301000.96714497,58464750.95415116
2024-01-31 04:00:00,59522998.83162976,59425354.60531712
2024-02-01 04:00:00,58852000.31596423,60046692.31843949
2024-02-02 04:00:00,59139999.8189807,60348254.34422494
2024-02-03 04:00:00,59332000.312328346,60358486.84954644
2024-02-04 04:00:00,59074000.65445901,60579218.02091599
2024-02-05 04:00:00,58857000.29015542,60582651.94678307
2024-02-06 04:00:00,59108000.97376109,60547075.68311692
2024-02-07 04:00:00,59516999.35740233,60765604.98559476
2024-02-08 04:00:00,61752999.690949924,61211941.128015526
2024-02-09 04:00:00,64393997.93398381,62096290.843248375
2024-02-10 04:00:00,64006998.4471798,63375205.56783677
2024-02-11 04:00:00,65220000.597596176,64629335.66033841
2024-02-12 04:00:00,66742001.64783002,65782516.24917985
2024-02-13 04:00:00,66662002.060770996,66932356.92453385
2024-02-14 04:00:00,69701001.71303749,68011005.48839569
2024-02-15 04:00:00,71287999.9537468,69207827.61347294
2024-02-16 04:00:00,71989000.78856945,70529705.99555969
2024-02-17 04:00:00,70881000.57017803,71844617.56551266
2024-02-18 04:00:00,71196001.41823292,72948129.92978096
2024-02-19 04:00:00,71950000.49507618,73434911.18752956
2024-02-20 04:00:00,71621001.69849396,73673178.14171314
2024-02-21 04:00:00,71505000.31805038,73831663.22171688
2024-02-22 04:00:00,71844998.56305122,73615820.69408894
2024-02-23 04:00:00,71307999.85051155,73495653.08082104
2024-02-24 04:00:00,71067001.58929825,73293729.33340073
2024-02-25 04:00:00,71083998.0379343,73052147.20582962
2024-02-26 04:00:00,73271997.62964249,72697552.3018837
2024-02-27 04:00:00,78785002.32458115,72675108.08324814
2024-02-28 04:00:00,85450000.08356571,73829283.22410583
2024-02-29 04:00:00,85599999.30930138,76445331.07638359
2024-03-01 04:00:00,87500998.89802933,79511272.69744873
2024-03-02 04:00:00,86637000.38897991,82321945.96767426
2024-03-03 04:00:00,87570998.53670597,84402929.78322506
2024-03-04 04:00:00,92859001.91903116,85750715.99793434
2024-03-05 04:00:00,91773000.59747697,86916974.20358658
2024-03-06 04:00:00,94000000.48267843,87858800.11892319
2024-03-07 04:00:00,94920000.68187715,88724456.21466637
2024-03-08 04:00:00,96497998.47424032,89675589.35558796
2024-03-09 04:00:00,95389998.2558489,90465115.21589758
2024-03-10 04:00:00,97830000.50520898,91112979.26414014
2024-03-11 04:00:00,100600001.05118753,91650205.58559896
2024-03-12 04:00:00,100770000.17368795,92212869.67778207
2024-03-13 04:00:00,103967000.00000001,93047338.40358259
2024-03-14 04:00:00,100936001.29604341,93859021.49736883
2024-03-15 04:00:00,100761999.22537805,94368811.04803087
2024-03-16 04:00:00,99642999.55856802,94605207.65066148
