,day_starting_at_4am,open,high,low,close,volume_krw,volume_market,price_change,gain,loss,avg_gain,avg_loss,rs,rsi,position,highest_price,exit_price,stop_loss_triggered,signal
0,2024-03-14 04:00:00,103968000.0,105000000.0,100000000.0,100936000.0,986911114344.0782,9566.03774788,,0.0,0.0,0.0,0.0,,,0,,,,0
1,2024-03-15 04:00:00,100936000.0,104131000.0,95600000.0,100762000.0,1757199585347.7712,17720.24815725,-3032000.0,0.0,3032000.0,0.0,1516000.0,0.0,0.0,0,,,,0
2,2024-03-16 04:00:00,100787000.0,102407000.0,98100000.0,99643000.0,710921253488.0715,7109.20778181,-149000.0,0.0,149000.0,0.0,1060333.3333333333,0.0,0.0,0,,,,0
3,2024-03-17 04:00:00,99643000.0,99891000.0,94300000.0,98810000.0,1144688491922.442,11845.00240687,-1144000.0,0.0,1144000.0,0.0,1081250.0,0.0,0.0,0,,,,0
4,2024-03-18 04:00:00,98810000.0,100299000.0,97623000.0,99185000.0,661805389734.5549,6666.86366497,-833000.0,0.0,833000.0,0.0,1031600.0,0.0,0.0,0,,,,0
5,2024-03-19 04:00:00,99058000.0,99925000.0,92027000.0,95366000.0,1234469062062.308,12939.6760824,248000.0,248000.0,0.0,41333.333333333336,859666.6666666666,0.048080651415277245,4.587495375508695,0,,,,0
6,2024-03-20 04:00:00,95366000.0,96008000.0,89845000.0,95938000.0,1124400967709.5183,12103.39805692,-3692000.0,0.0,3692000.0,35428.57142857143,1264285.7142857143,0.028022598870056495,2.7258738184216185,0,,,,0
7,2024-03-21 04:00:00,95790000.0,100216000.0,95193000.0,95407000.0,987041006667.9712,10061.38276261,424000.0,424000.0,0.0,84000.0,1106250.0,0.0759322033898305,7.057340894769993,0,,,,0
8,2024-03-22 04:00:00,95380000.0,96500000.0,92250000.0,93536000.0,675260407186.1802,7143.18081207,-410000.0,0.0,410000.0,74666.66666666667,1028888.8888888889,0.07257019438444925,6.766008860249698,0,,,,0
9,2024-03-23 04:00:00,93577000.0,95609000.0,92222000.0,94575000.0,359788950702.2412,3837.76121037,-1803000.0,0.0,1803000.0,67200.0,1106300.0,0.060743017264756394,5.726459309757132,0,,,,0
10,2024-03-24 04:00:00,94625000.0,95562000.0,93079000.0,95149000.0,315180396081.17804,3342.11256799,1048000.0,1048000.0,0.0,156363.63636363635,1005727.2727272727,0.1554731989514598,13.455370413830863,0,,,,0
11,2024-03-25 04:00:00,95141000.0,100096000.0,94934000.0,99984000.0,685872519908.3969,7034.70305542,516000.0,516000.0,0.0,186333.33333333334,921916.6666666666,0.20211515863689777,16.813294232649085,0,,,,0
12,2024-03-26 04:00:00,99982000.0,100800000.0,98550000.0,99923000.0,622915233899.9485,6237.01155279,4841000.0,4841000.0,0.0,544384.6153846154,851000.0,0.6396999005694658,39.01323042998898,1,99982000.0,,,1
13,2024-03-27 04:00:00,99969000.0,101900000.0,98700000.0,99019000.0,685812289848.4176,6853.40623963,-13000.0,0.0,13000.0,505500.0,791142.8571428572,0.6389490790899242,38.985291687324406,1,99982000.0,,,0
14,2024-03-28 04:00:00,99019000.0,101725000.0,99000000.0,100716000.0,541480246743.339,5394.46744318,-950000.0,0.0,950000.0,505500.0,859000.0,0.5884749708963911,37.04653719311102,1,99982000.0,,,0
15,2024-03-29 04:00:00,100662000.0,101297000.0,99210000.0,99415000.0,441806529762.21014,4409.66415724,1643000.0,1643000.0,0.0,622857.1428571428,642428.5714285715,0.9695352457193683,49.22660042903918,1,100662000.0,,,0
16,2024-03-30 04:00:00,99562000.0,100317000.0,99360000.0,99953000.0,213463334772.16928,2136.38680475,-1100000.0,0.0,1100000.0,622857.1428571428,710357.1428571428,0.8768225238813474,46.71845700508974,1,100662000.0,,,0
17,2024-03-31 04:00:00,99953000.0,100850000.0,99860000.0,100319000.0,182545506340.67017,1820.73932448,391000.0,391000.0,0.0,650785.7142857143,628642.8571428572,1.0352232700829451,50.86534167038857,1,100662000.0,,,0
18,2024-04-01 04:00:00,100319000.0,101133000.0,98658000.0,99627000.0,476701904959.4601,4775.70591194,366000.0,366000.0,0.0,676928.5714285715,569142.8571428572,1.189382530120482,54.325021496130695,1,100662000.0,,,0
19,2024-04-02 04:00:00,99640000.0,100352000.0,95000000.0,96336000.0,778908917633.8805,8026.19299714,-679000.0,0.0,679000.0,659214.2857142857,617642.8571428572,1.0673065803168729,51.62788095770866,1,100662000.0,,,0
20,2024-04-03 04:00:00,96336000.0,97300000.0,94682000.0,96385000.0,423682453233.95,4401.01556927,-3304000.0,0.0,3304000.0,659214.2857142857,589928.5714285715,1.117447632885337,52.77333028362306,1,100662000.0,,,0
21,2024-04-04 04:00:00,96385000.0,99888000.0,95598000.0,99177000.0,368811938070.1663,3798.23073292,49000.0,49000.0,0.0,632428.5714285715,589928.5714285715,1.0720426201719337,51.738444457430035,1,100662000.0,,,0
22,2024-04-05 04:00:00,99106000.0,99912000.0,96800000.0,98000000.0,420541714488.0987,4276.22334288,2721000.0,2721000.0,0.0,826785.7142857143,560642.8571428572,1.4747101541597656,59.59122734761121,1,100662000.0,,,0
23,2024-04-06 04:00:00,98040000.0,98750000.0,97745000.0,98676000.0,150368780084.0057,1530.98813133,-1066000.0,0.0,1066000.0,826785.7142857143,508000.0,1.627530933633296,61.94145662760208,1,100662000.0,,,0
24,2024-04-07 04:00:00,98573000.0,100450000.0,98400000.0,99706000.0,243529146138.96927,2446.49277402,533000.0,533000.0,0.0,790000.0,508000.0,1.5551181102362204,60.86286594761171,1,100662000.0,,,0
25,2024-04-08 04:00:00,99684000.0,103084000.0,99100000.0,102246000.0,555487933936.135,5476.28005802,1111000.0,1111000.0,0.0,832500.0,508000.0,1.638779527559055,62.10369265199552,1,100662000.0,,,0
26,2024-04-09 04:00:00,102199000.0,102399000.0,98400000.0,99019000.0,478403911123.09265,4762.010643,2515000.0,2515000.0,0.0,666357.1428571428,508000.0,1.311726659167604,56.742290614926105,1,102199000.0,,,0
27,2024-04-10 04:00:00,99018000.0,100270000.0,97614000.0,99378000.0,386791490152.4987,3909.51728716,-3181000.0,0.0,3181000.0,666357.1428571428,734285.7142857143,0.9074902723735407,47.575093069508895,1,102199000.0,,,0
28,2024-04-11 04:00:00,99378000.0,101750000.0,99365000.0,100558000.0,360539616563.9229,3580.33133137,360000.0,360000.0,0.0,692071.4285714285,666428.5714285715,1.0384780278670953,50.943793049056204,1,102199000.0,,,0
29,2024-04-12 04:00:00,100507000.0,101426000.0,98985000.0,99811000.0,384822087013.7558,3834.29637796,1129000.0,1129000.0,0.0,655357.1428571428,666428.5714285715,0.9833869239013933,49.581194271818426,1,102199000.0,,,0
30,2024-04-13 04:00:00,99811000.0,100569000.0,96366000.0,99917000.0,611659332631.665,6182.57081859,-696000.0,0.0,696000.0,655357.1428571428,637571.4285714285,1.0278960340578087,50.6878073034639,1,102199000.0,,,0
31,2024-04-14 04:00:00,99917000.0,100000000.0,95000000.0,96884000.0,995899735169.9248,10262.67808403,106000.0,106000.0,0.0,635000.0,637571.4285714285,0.9959668384494735,49.89896722047598,1,102199000.0,,,0
32,2024-04-15 04:00:00,96885000.0,99490000.0,96000000.0,96006000.0,574251651061.2509,5859.80695364,-3032000.0,0.0,3032000.0,608857.1428571428,854142.8571428572,0.7128282321458438,41.6170295869544,0,102199000.0,96885000.0,1.0,0
33,2024-04-16 04:00:00,96006000.0,97192000.0,93500000.0,94879000.0,635180456028.1661,6675.58501038,-879000.0,0.0,879000.0,608857.1428571428,868428.5714285715,0.7011021549596973,41.214582728943036,0,,,,0
34,2024-04-17 04:00:00,94876000.0,96500000.0,90200000.0,91826000.0,630008792862.3523,6763.33869034,-1130000.0,0.0,1130000.0,608857.1428571428,713142.8571428572,0.8537660256410255,46.055759671493405,0,,,,0
35,2024-04-18 04:00:00,91826000.0,94200000.0,90000000.0,93152000.0,566652439732.7778,6166.77848706,-3050000.0,0.0,3050000.0,605357.1428571428,931000.0,0.6502224950130427,39.40211074433958,0,,,,0
36,2024-04-19 04:00:00,93152000.0,95958000.0,88500000.0,93731000.0,814882464262.3688,8809.73829728,1326000.0,1326000.0,0.0,505714.28571428574,931000.0,0.5431947214976216,35.199363627324246,0,,,,0
37,2024-04-20 04:00:00,93731000.0,95600000.0,92330000.0,94744000.0,273437129048.5927,2912.20339572,579000.0,579000.0,0.0,547071.4285714285,854857.1428571428,0.639956550802139,39.02277474907016,0,,,,0
38,2024-04-21 04:00:00,94744000.0,95989000.0,94302000.0,94651000.0,243330206644.83664,2560.3557446,1013000.0,1013000.0,0.0,581357.1428571428,854857.1428571428,0.6800635026737968,40.478440344158756,0,,,,0
39,2024-04-22 04:00:00,94653000.0,96758000.0,94412000.0,96270000.0,269681465781.52017,2816.42934301,-91000.0,0.0,91000.0,502000.0,861357.1428571428,0.5828012272991127,36.82087284539215,0,,,,0
40,2024-04-23 04:00:00,96270000.0,97627000.0,95246000.0,96700000.0,336588938894.3867,3492.59598684,1617000.0,1617000.0,0.0,437857.14285714284,861357.1428571428,0.508334024380131,33.70168783330584,0,,,,0
41,2024-04-24 04:00:00,96700000.0,96700000.0,93200000.0,93240000.0,297549771709.1135,3125.04290208,430000.0,430000.0,0.0,468571.4285714286,634142.8571428572,0.738905158819554,42.49255084855551,0,,,,0
42,2024-04-25 04:00:00,93230000.0,94319000.0,91213000.0,92974000.0,379653140028.197,4096.17395966,-3470000.0,0.0,3470000.0,442857.14285714284,882000.0,0.5021056041464205,33.426784558982106,0,,,,0
43,2024-04-26 04:00:00,92957000.0,94000000.0,91465000.0,92038000.0,208335690810.50836,2253.59796945,-273000.0,0.0,273000.0,362214.28571428574,901500.0,0.4017906663497346,28.662672394302504,0,,,,0
44,2024-04-27 04:00:00,92037000.0,92211000.0,90292000.0,91099000.0,221170604138.0064,2430.74447248,-920000.0,0.0,920000.0,362214.28571428574,917500.0,0.3947839626313741,28.304308997544098,0,,,,0
45,2024-04-28 04:00:00,91046000.0,92630000.0,90839000.0,91440000.0,149702752015.42288,1635.52454251,-991000.0,0.0,991000.0,354642.85714285716,988285.7142857143,0.358846487424111,26.408169778203288,0,,,,0
46,2024-04-29 04:00:00,91385000.0,91442000.0,88500000.0,89991000.0,392603216646.0583,4384.90471375,339000.0,339000.0,0.0,378857.14285714284,771714.2857142857,0.4909292854498334,32.92773777005215,1,91385000.0,,,1
47,2024-04-30 04:00:00,89976000.0,92540000.0,86486000.0,86778000.0,591656159419.5587,6651.65852957,-1409000.0,0.0,1409000.0,378857.14285714284,809571.4285714285,0.4679724722075172,31.87883159033538,1,91385000.0,,,0
48,2024-05-01 04:00:00,86887000.0,87980000.0,80005000.0,83896000.0,1226138493683.5532,14748.87901506,-3089000.0,0.0,3089000.0,378857.14285714284,949500.0,0.39900699616339425,28.520729149862873,1,91385000.0,,,0
49,2024-05-02 04:00:00,83895000.0,84486000.0,80601000.0,83832000.0,550725059278.8035,6683.59321445,-2992000.0,0.0,2992000.0,378857.14285714284,945357.1428571428,0.40075557234605214,28.609957387129825,0,91385000.0,83895000.0,1.0,0
50,2024-05-03 04:00:00,83749000.0,88089000.0,82807000.0,87276000.0,592507228835.8297,6946.09463505,-146000.0,0.0,146000.0,284142.85714285716,955785.7142857143,0.29728719826619837,22.916066593697792,0,,,,0
51,2024-05-04 04:00:00,87226000.0,91123000.0,87000000.0,90219000.0,508449057261.3403,5687.86835193,3477000.0,3477000.0,0.0,491142.85714285716,955785.7142857143,0.5138629399895374,33.943821888729815,1,87226000.0,,,1
