Date,Actual,Predicted
1023,57539001.15573407,57273045.081734665
1024,57600000.346064575,56328482.91134835
1025,57506000.33646823,56133926.76568032
1026,57591999.39775468,56365385.244369514
1027,55711999.20582772,56335909.88934041
1028,54052000.35232306,54299816.98507071
1029,54893999.964535244,52701114.20309544
1030,55037999.71604348,53848047.916710384
1031,57887999.84908105,53538655.6493044
1032,57591999.39775468,56311887.25233079
1033,57829999.15885926,56085262.989163406
1034,58717001.01280213,56723240.89348317
1035,59301000.96714497,57649020.38002015
1036,59522998.83162976,58113802.74093152
1037,58852000.31596423,58163401.693224914
1038,59139999.8189807,57418036.91124917
1039,59332000.312328346,57759457.711994655
1040,59074000.65445901,57912660.780668266
1041,58857000.29015542,57616613.32315207
1042,59108000.97376109,57461752.6677847
1043,59516999.35740233,57998150.19589663
1044,61752999.690949924,58074765.33728839
1045,64393997.93398381,60132701.2757659
1046,64006998.4471798,62349456.2855959
1047,65220000.597596176,62278771.346151836
1048,66742001.64783002,63581706.23373986
1049,66662002.060770996,64952124.691843994
1050,69701001.71303749,64867944.0279007
1051,71287999.9537468,67537287.00339794
1052,71989000.78856945,68941846.79937363
1053,70881000.57017803,69911777.4682045
1054,71196001.41823292,69062514.16265965
1055,71950000.49507618,69767780.19070625
1056,71621001.69849396,70277658.80572796
1057,71505000.31805038,69897398.5221386
1058,71844998.56305122,69933929.75366116
1059,71307999.85051155,70118520.58708668
1060,71067001.58929825,69613585.04402637
1061,71083998.0379343,69292201.2501955
1062,73271997.62964249,69363581.38644695
1063,78785002.32458115,70737765.28775692
1064,85450000.08356571,74585850.32331944
1065,85599999.30930138,79054610.03732681
1066,87500998.89802933,80386626.91235542
1067,86637000.38897991,82966692.76332855
1068,87570998.53670597,83084618.92354488
1069,92859001.91903116,83295849.89655018
1070,91773000.59747697,85140105.59213161
1071,94000000.48267843,84159798.92539978
1072,94920000.68187715,84824976.09555721
1073,96497998.47424032,86502166.84448719
1074,95389998.2558489,87445798.787117
1075,97830000.50520898,87590800.51267147
1076,100600001.05118753,88318159.44993496
1077,100770000.17368795,88475981.49526119
1078,103967000.00000001,89157823.59671593
1079,100936001.29604341,90343017.87483692
1080,100761999.22537805,89539880.01155853
1081,99642999.55856802,88304725.5756855
1082,98810000.39470197,88566406.56042099
1083,99185000.93305112,87474823.8723278
1084,95366000.35893919,87796163.13397884
1085,95938001.36482717,85468916.36395454
1086,95406999.65250494,85024074.52356815
1087,93535999.90892412,85125538.62130642
1088,94574999.98867513,84677277.69911289
1089,95148999.9946356,85392009.28938389
1090,99984002.25162508,85684580.76286316
1091,99922998.11327459,87452805.18341064
1092,99018999.81069566,88070926.68354511
1093,100716002.4316311,88004301.59449577
1094,99414999.74584581,88817380.02991676
1095,99952997.95842172,88555130.02288342
1096,100318998.04842474,88749933.56955051
1097,99626997.66194822,88764015.63441753
1098,96336000.3000498,88086661.38708591
1099,96385000.54192545,86365319.45586205
1100,99176999.98474123,85996325.8137703
1101,97999999.6277094,86791541.89705849
1102,98675998.11756612,86460514.4122839
1103,99705997.748971,87010407.66489506
1104,102245999.48215486,87457580.02269268
1105,99018999.81069566,88291143.2608366
1106,99377998.45242502,87564373.1379509
1107,100558002.25758554,87422241.26398563
1108,99810999.68099596,87722071.4827776
1109,99917001.11305715,87443656.29446507
1110,96883998.46100809,86993000.53060055
1111,96006002.00343134,85218338.73605728
1112,94879001.3883114,85101248.7912178
1113,91825998.83949758,84296319.74470615
1114,93151998.92222883,82641162.52875328
1115,93731001.37639047,82765041.15700722
1116,94743999.61113931,82536902.79972553
1117,94651001.5755892,83830612.10405827
1118,96269998.66151811,84310441.39373302
1119,96700001.38998033,85298996.40977383
1120,93239999.45759775,85775089.94436264
1121,92973998.85141851,84518278.02503109
1122,92038001.70361997,83789216.968894
1123,91099001.10769273,83190041.43726826
1124,91439998.85272981,82234143.35310459
1125,89991000.8893013,82288818.97389889
1126,86777999.16636944,81017553.88820171
1127,83896000.18811226,79277978.50334644
1128,83831997.54965305,75882038.58566284
1129,87275997.58541584,76189726.26018524
1130,90219000.7020235,78302981.06205463
1131,90053999.07970428,80750355.86118698
1132,89250000.26094913,81801003.57997417
1133,88939002.36105919,81899845.2271223
1134,87660998.07214737,82096049.06344414
1135,86746999.82118607,81045910.99071503
1136,85799998.27694893,80077380.61153889
1137,86150001.41835213,79240294.38316822
1138,86677000.18250942,79326929.26502228
1139,87809997.7978468,79499174.78859425
1140,86125998.57342243,79923883.13567638
1141,91604000.9750128,79546923.1814146
1142,90682001.77574159,82407353.74057293
1143,92539998.12281133,82643745.39518356
1144,92895998.26443197,83989413.85734081
1145,92558998.51953985,84440114.15338516
1146,94890000.83673002,84398263.80038261
1147,96181998.12614919,85249699.2866993
1148,96056001.74534322,85668212.71276474
1149,93602001.5474558,86132470.58355808
1150,95710001.55210496,85024059.67950821
1151,96277000.10979177,85548544.84951496
1152,96154002.22909452,85879211.12883091
1153,96442001.73211099,85850908.45453739
1154,94448998.65984918,85851799.09813404
1155,93592001.59907342,85058473.15847874
1156,95964997.7618456,84449055.22549152
1157,94405000.86617471,85083124.194026
1158,94744999.11117555,84480554.32069302
1159,95118000.64945222,84640390.21015167
1160,96472001.57725812,84760542.97935963
1161,97563999.89902975,85331118.95549297
1162,98385999.61447717,85997637.03906536
