,index,day_starting_at_4am,open,high,low,close,volume_krw,volume_market,price_change,gain,loss,avg_gain,avg_loss,rs,rsi,signal,position,highest_price,exit_price,strategy_returns,strategy_returns2,cumulative_returns,cumulative_returns2,benchmark_returns
0,0,2024-08-31 04:00:00,80393000.0,80400000.0,80009000.0,80144000.0,7297119896.54137,90.98158906,,0.0,0.0,0.0,0.0,,,0,0,,,,,,,
1,1,2024-09-01 04:00:00,80224000.0,80399000.0,78800000.0,79843000.0,159055099399.598,2002.39228878,-169000.0,0.0,169000.0,0.0,84500.0,0.0,0.0,0,0,,,-0.0,-0.0,1.0,1.0,0.9978978269252298
2,2,2024-09-02 04:00:00,79843000.0,80089000.0,78235000.0,79471000.0,189532330654.58063,2400.41189778,-381000.0,0.0,381000.0,0.0,183333.33333333334,0.0,0.0,0,0,,,-0.0,-0.0,1.0,1.0,0.9931586083365467
3,3,2024-09-03 04:00:00,79497000.0,81101000.0,78557000.0,78960000.0,205302566472.9922,2571.396041,-346000.0,0.0,346000.0,0.0,224000.0,0.0,0.0,0,0,,,-0.0,-0.0,1.0,1.0,0.9888547510355379
4,4,2024-09-04 04:00:00,78868000.0,79300000.0,76248000.0,78143000.0,310553210268.8199,4007.71532553,-629000.0,0.0,629000.0,0.0,305000.0,0.0,0.0,0,0,,,-0.0,-0.0,1.0,1.0,0.9810306867513341
5,5,2024-09-05 04:00:00,78182000.0,79190000.0,76135000.0,76796000.0,212976291309.078,2752.12243344,-686000.0,0.0,686000.0,0.0,368500.0,0.0,0.0,0,0,,,-0.0,-0.0,1.0,1.0,0.9724976055129178
6,6,2024-09-06 04:00:00,76796000.0,76860000.0,72886000.0,72886000.0,413119383545.45166,5499.58262518,-1386000.0,0.0,1386000.0,0.0,513857.14285714284,0.0,0.0,0,0,,,-0.0,-0.0,1.0,1.0,0.9552572985210155
7,7,2024-09-07 04:00:00,72886000.0,74580000.0,72200000.0,73850000.0,193567013142.6668,2633.9736966,-3910000.0,0.0,3910000.0,0.0,938375.0,0.0,0.0,0,0,,,-0.0,-0.0,1.0,1.0,0.9066212232408294
8,8,2024-09-08 04:00:00,73867000.0,74180000.0,72992000.0,73836000.0,101794948558.084,1382.31649323,981000.0,981000.0,0.0,109000.0,834111.1111111111,0.13067803383508725,11.55749293119699,0,0,,,0.0,0.0,1.0,1.0,0.9188237781896434
9,9,2024-09-09 04:00:00,73836000.0,76800000.0,73478000.0,76501000.0,199157314682.97403,2655.16679511,-31000.0,0.0,31000.0,98100.0,753800.0,0.13014062085433803,11.515436084047423,0,0,,,-0.0,-0.0,1.0,1.0,0.9184381724777034
10,10,2024-09-10 04:00:00,76501000.0,78500000.0,76432000.0,77938000.0,212380883259.56012,2745.73710487,2665000.0,2665000.0,0.0,331454.54545454547,685272.7272727273,0.4836826744494561,32.60014306151646,1,1,76501000.0,,0.0,0.0,1.0,1.0,0.951587824810618
11,11,2024-09-11 04:00:00,77938000.0,78485000.0,75380000.0,77584000.0,243493386252.6535,3167.73234012,1437000.0,1437000.0,0.0,423583.3333333333,628166.6666666666,0.6743167949058105,40.27414626416291,0,1,76501000.0,,0.0187840681821152,0.01675056704801925,1.0187840681821152,1.0167505670480192,0.9694625153931313
12,12,2024-09-12 04:00:00,77584000.0,78830000.0,77120000.0,78364000.0,197390755311.85165,2527.51532736,-354000.0,0.0,354000.0,391000.0,607076.9230769231,0.644069944247339,39.17533718689788,0,1,77938000.0,,-0.004542071903307798,-0.004542071903307798,1.0141566776904876,1.0121324128647582,0.9650591469406541
13,13,2024-09-13 04:00:00,78398000.0,80600000.0,77700000.0,80126000.0,191009093861.78937,2424.0008047,814000.0,814000.0,0.0,421214.28571428574,563714.2857142857,0.7472123669538774,42.76597287693088,0,1,77938000.0,,0.010491853990513444,0.010491853990513444,1.0247970614763204,1.0227515583596014,0.9751844066025649
14,14,2024-09-14 04:00:00,80127000.0,81174000.0,80009000.0,80341000.0,149705504416.60022,1855.83036091,1729000.0,1729000.0,0.0,544714.2857142857,563714.2857142857,0.966294982260517,49.142930790050265,0,1,78398000.0,,0.022054134034031447,0.022054134034031447,1.0473980732278008,1.0453074583111786,0.9966912542136753
15,15,2024-09-15 04:00:00,80341000.0,81009000.0,80283000.0,80766000.0,73014682351.311,904.80836746,214000.0,214000.0,0.0,560000.0,551642.8571428572,1.015149553282403,50.37589153762128,0,1,80127000.0,,0.0026707601682329773,0.0026707601682329773,1.0501954222820615,1.048099223834393,0.9993531775154554
16,16,2024-09-16 04:00:00,80700000.0,80926000.0,77740000.0,78176000.0,216210157135.90335,2739.62241393,359000.0,359000.0,0.0,585642.8571428572,524428.5714285715,1.1167256878234813,52.757222829933724,0,1,80341000.0,,0.0044684532181575864,0.0044684532181575864,1.0548881713964522,1.0527826061840841,1.0038187404376002
17,17,2024-09-17 04:00:00,78176000.0,82364000.0,77774000.0,81234000.0,224696100720.0899,2802.04627446,-2524000.0,0.0,2524000.0,585642.8571428572,680000.0,0.8612394957983194,46.272363000169314,0,1,80700000.0,,-0.03127633209417591,-0.03127633209417591,1.0218951386256387,1.0198554277700986,0.9724229721493165
18,18,2024-09-18 04:00:00,81292000.0,82259000.0,80008000.0,81402000.0,236267530748.11823,2919.02639247,3116000.0,3116000.0,0.0,808214.2857142857,635071.4285714285,1.2726352491283321,55.998218350984864,0,1,80700000.0,,0.03985878018829303,0.03985878018829303,1.0626266323316034,1.0605056210894246,1.0111825656462627
19,19,2024-09-19 04:00:00,81402000.0,85000000.0,80034000.0,84900000.0,404919068427.26013,4867.74474519,110000.0,110000.0,0.0,816071.4285714285,586071.4285714285,1.392443631931749,58.20173204279164,0,1,81292000.0,,0.0013531466811003146,0.0013531466811003146,1.0640645220323917,1.06194064075089,1.0125508439789535
20,20,2024-09-20 04:00:00,84883000.0,85478000.0,83342000.0,84234000.0,304673477071.8462,3608.966952,3481000.0,3481000.0,0.0,1064714.2857142857,487071.4285714286,2.185951019211028,68.61219792865363,0,1,81402000.0,,0.04276307707427329,0.04276307707427329,1.1095671952000625,1.1073524902196235,1.055850633761646
21,21,2024-09-21 04:00:00,84198000.0,84750000.0,83729000.0,84459000.0,96952479983.5748,1149.6391622,-685000.0,0.0,685000.0,1064714.2857142857,256714.2857142857,4.147468002225932,80.57297297297298,0,1,84883000.0,,-0.008069931552843301,-0.008069931552843301,1.1006130638815177,1.0984162314186805,1.0473299914171632
22,22,2024-09-22 04:00:00,84459000.0,84600000.0,83401000.0,84208000.0,107776556900.6779,1283.22677934,261000.0,261000.0,0.0,1013285.7142857143,256714.2857142857,3.9471341124095716,79.78627671541057,0,1,84883000.0,,0.003099836100620035,0.003099836100620035,1.1040247839897517,1.101821141706339,1.0505765427338203
23,23,2024-09-23 04:00:00,84206000.0,86250000.0,83635000.0,84842000.0,270605474717.32007,3179.9048362,-253000.0,0.0,253000.0,1013285.7142857143,272571.4285714286,3.7175052410901466,78.80235529385624,0,1,84883000.0,,-0.0029955362957174714,-0.0029955362957174714,1.1007176376779388,1.098520596484969,1.0474295025686318
24,24,2024-09-24 04:00:00,84842000.0,85334000.0,84009000.0,84930000.0,149744816049.5362,1769.40326799,636000.0,636000.0,0.0,868357.1428571428,272571.4285714286,3.185796645702306,76.10968509359544,0,1,84883000.0,,0.007552905968695844,0.007552905968695844,1.1090312544934053,1.1068176192548955,1.0553406391103706
25,25,2024-09-25 04:00:00,84917000.0,85950000.0,84300000.0,84652000.0,173048093397.74332,2032.05612357,75000.0,75000.0,0.0,771071.4285714285,272571.4285714286,2.8288784067085953,73.8826911231264,0,1,84883000.0,,0.0008839961339901503,0.0008839961339901503,1.1100116338348518,1.107796041751349,1.0562735561553869
