,index,day_starting_at_4am,open,high,low,close,volume_krw,volume_market,price_change,gain,loss,avg_gain,avg_loss,rs,rsi,signal,position,highest_price,exit_price,strategy_returns,strategy_returns2,cumulative_returns,cumulative_returns2,benchmark_returns
0,0,2021-03-31 04:00:00,70913000.0,72000000.0,70838000.0,71672000.0,80723768628.92195,1128.28906104,,0.0,0.0,0.0,0.0,,,0,0,,,,,,,
1,1,2021-04-01 04:00:00,71619000.0,73117000.0,70670000.0,72997000.0,663580447896.7129,9202.72444219,706000.0,706000.0,0.0,353000.0,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.0099558614076403
2,2,2021-04-02 04:00:00,72997000.0,74400000.0,71841000.0,73791000.0,651482782496.281,8859.98231232,1378000.0,1378000.0,0.0,694666.6666666666,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.0293881234752442
3,3,2021-04-03 04:00:00,73790000.0,75703000.0,73100000.0,74815000.0,567862273364.973,7604.54511004,793000.0,793000.0,0.0,719250.0,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.040570840325469
4,4,2021-04-04 04:00:00,74815000.0,75100000.0,71570000.0,73090000.0,616040448077.902,8423.98465,1025000.0,1025000.0,0.0,780400.0,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.0550251716892527
5,5,2021-04-05 04:00:00,73090000.0,77800000.0,72821000.0,77274000.0,910360581978.4908,12063.60823028,-1725000.0,0.0,1725000.0,650333.3333333334,287500.0,2.2620289855072464,69.34423316154256,-1,0,,,-0.0,-0.0,1.0,1.0,1.030699589638007
6,6,2021-04-06 04:00:00,77275000.0,79500000.0,76210000.0,76883000.0,917260604458.8368,11760.72273196,4185000.0,4185000.0,0.0,1155285.7142857143,246428.57142857142,4.688115942028986,82.41948634325317,0,0,,,0.0,0.0,1.0,1.0,1.089715566962334
7,7,2021-04-07 04:00:00,76883000.0,79422000.0,68500000.0,72413000.0,1392639249081.6587,18732.96276122,-392000.0,0.0,392000.0,1010875.0,264625.0,3.8200283419933867,79.2532340258722,0,0,,,-0.0,-0.0,1.0,1.0,1.0841876665773553
8,8,2021-04-08 04:00:00,72413000.0,74866000.0,70432000.0,74667000.0,698123615538.7758,9594.12352294,-4470000.0,0.0,4470000.0,898555.5555555555,731888.8888888889,1.22772126916654,55.111080823224746,-1,0,,,-0.0,-0.0,1.0,1.0,1.0211526800445616
9,9,2021-04-09 04:00:00,74667000.0,76435000.0,73369000.0,75974000.0,707609837875.9679,9422.55598551,2254000.0,2254000.0,0.0,1034100.0,658700.0,1.5699104296341277,61.088137996219274,0,0,,,0.0,0.0,1.0,1.0,1.0529381072581896
10,10,2021-04-10 04:00:00,75974000.0,79600000.0,75350000.0,78341000.0,717728878064.5874,9189.64307528,1307000.0,1307000.0,0.0,1058909.0909090908,598818.1818181818,1.7683315621679065,63.87715930902112,0,0,,,0.0,0.0,1.0,1.0,1.0713691424703509
11,11,2021-04-11 04:00:00,78340000.0,79389000.0,76500000.0,78373000.0,589538202021.8191,7536.60044525,2366000.0,2366000.0,0.0,1167833.3333333333,548916.6666666666,2.1275239107332626,68.02582398912674,0,0,,,0.0,0.0,1.0,1.0,1.1047339697939729
12,12,2021-04-12 04:00:00,78408000.0,79006000.0,77500000.0,78210000.0,505478304577.5551,6449.87849311,68000.0,68000.0,0.0,1083230.7692307692,506692.3076923077,2.137847274935479,68.13101746577,0,0,,,0.0,0.0,1.0,1.0,1.1056928912893262
13,13,2021-04-13 04:00:00,78129000.0,81987000.0,78000000.0,80910000.0,852713886562.731,10651.13392162,-279000.0,0.0,279000.0,1005857.1428571428,490428.5714285714,2.0509758228954267,67.2236012984533,0,0,,,-0.0,-0.0,1.0,1.0,1.1017584928010378
