,index,day_starting_at_4am,open,high,low,close,volume_krw,volume_market,price_change,gain,loss,avg_gain,avg_loss,rs,rsi,signal,position,highest_price,exit_price,strategy_returns,strategy_returns2,cumulative_returns,cumulative_returns2,benchmark_returns
0,2,2024-02-25 04:00:00,71070000.0,71595000.0,70907000.0,71084000.0,135255199981.3555,1899.76752185,,0.0,0.0,0.0,0.0,,,0,0,,,,,,,
1,3,2024-02-26 04:00:00,71085000.0,73402000.0,70000000.0,73272000.0,329539505146.24365,4606.53005778,15000.0,15000.0,0.0,7500.0,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.0002110595187843
2,4,2024-02-27 04:00:00,73287000.0,79183000.0,73133000.0,78785000.0,856123463451.8674,11109.94109416,2202000.0,2202000.0,0.0,739000.0,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.0311945968763192
3,5,2024-02-28 04:00:00,78785000.0,88424000.0,77900000.0,85450000.0,1455113083357.6482,17584.271027799998,5498000.0,5498000.0,0.0,1928750.0,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.108554945828057
4,6,2024-02-29 04:00:00,85579000.0,90000000.0,83863000.0,85600000.0,1346097751369.595,15415.60839927,6794000.0,6794000.0,0.0,2901800.0,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.204150837202758
5,7,2024-03-01 04:00:00,85640000.0,88500000.0,85406000.0,87501000.0,597178473090.3934,6861.25463339,61000.0,61000.0,0.0,2428333.3333333335,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.2050091459124808
6,8,2024-03-02 04:00:00,87501000.0,88300000.0,86090000.0,86637000.0,510681064053.5329,5873.99141164,1861000.0,1861000.0,0.0,2347285.714285714,0.0,inf,100.0,0,0,,,0.0,0.0,1.0,1.0,1.2311945968763192
7,9,2024-03-03 04:00:00,86637000.0,87828000.0,85000000.0,87571000.0,503313958730.4383,5828.27788672,-864000.0,0.0,864000.0,2053875.0,108000.0,19.01736111111111,95.00433651344319,0,0,,,-0.0,-0.0,1.0,1.0,1.2190375685943435
8,10,2024-03-04 04:00:00,87571000.0,93990000.0,87123000.0,92859000.0,1034333766341.3424,11431.56188572,934000.0,934000.0,0.0,1929444.4444444445,96000.0,20.09837962962963,95.26029952273849,0,0,,,0.0,0.0,1.0,1.0,1.2321795412973124
9,11,2024-03-05 04:00:00,92859000.0,97000000.0,91200000.0,91773000.0,1727979342134.7734,18267.93790987,5288000.0,5288000.0,0.0,2265300.0,86400.0,26.21875,96.32606199770379,0,0,,,0.0,0.0,1.0,1.0,1.30658505698607
